defined_class	defined_class_label	affected_entity_1_super	affected_entity_1_super_label	affected_entity_2_super	affected_entity_2_super_label	pato_id	pato_id_label
http://purl.obolibrary.org/obo/HP_0010704	1-2 finger syndactyly	http://purl.obolibrary.org/obo/UBERON_0001463	manual digit 1	http://purl.obolibrary.org/obo/UBERON_0003622	manual digit 2	http://purl.obolibrary.org/obo/PATO_0000642	fused with
http://purl.obolibrary.org/obo/HP_0010711	1-2 toe syndactyly	http://purl.obolibrary.org/obo/UBERON_0003631	pedal digit 1	http://purl.obolibrary.org/obo/UBERON_0003632	pedal digit 2	http://purl.obolibrary.org/obo/PATO_0000642	fused with
http://purl.obolibrary.org/obo/HP_0001233	2-3 finger syndactyly	http://purl.obolibrary.org/obo/UBERON_0003622	manual digit 2	http://purl.obolibrary.org/obo/UBERON_0003623	manual digit 3	http://purl.obolibrary.org/obo/PATO_0000642	fused with
http://purl.obolibrary.org/obo/HP_0004691	2-3 toe syndactyly	http://purl.obolibrary.org/obo/UBERON_0003632	pedal digit 2	http://purl.obolibrary.org/obo/UBERON_0003633	pedal digit 3	http://purl.obolibrary.org/obo/PATO_0000642	fused with
http://purl.obolibrary.org/obo/HP_0006097	3-4 finger syndactyly	http://purl.obolibrary.org/obo/UBERON_0003623	manual digit 3	http://purl.obolibrary.org/obo/UBERON_0003624	manual digit 4	http://purl.obolibrary.org/obo/PATO_0000642	fused with
http://purl.obolibrary.org/obo/HP_0009779	3-4 toe syndactyly	http://purl.obolibrary.org/obo/UBERON_0003633	pedal digit 3	http://purl.obolibrary.org/obo/UBERON_0003634	pedal digit 4	http://purl.obolibrary.org/obo/PATO_0000642	fused with
http://purl.obolibrary.org/obo/HP_0010705	4-5 finger syndactyly	http://purl.obolibrary.org/obo/UBERON_0003625	manual digit 5	http://purl.obolibrary.org/obo/UBERON_0003624	manual digit 4	http://purl.obolibrary.org/obo/PATO_0000642	fused with
http://purl.obolibrary.org/obo/HP_0004692	4-5 toe syndactyly	http://purl.obolibrary.org/obo/UBERON_0003634	pedal digit 4	http://purl.obolibrary.org/obo/UBERON_0003635	pedal digit 5	http://purl.obolibrary.org/obo/PATO_0000642	fused with
http://purl.obolibrary.org/obo/HP_0010966	Abnormal circulating fatty-acid anion concentration	http://purl.obolibrary.org/obo/GO_0008152	metabolic process	http://purl.obolibrary.org/obo/CHEBI_28868	fatty acid anion	http://purl.obolibrary.org/obo/PATO_0000001	quality
http://purl.obolibrary.org/obo/HP_0010965	Abnormal circulating phytanic acid concentration	http://purl.obolibrary.org/obo/GO_0008152	metabolic process	http://purl.obolibrary.org/obo/CHEBI_16285	phytanic acid	http://purl.obolibrary.org/obo/PATO_0000001	quality
http://purl.obolibrary.org/obo/HP_0012261	Abnormal respiratory motile cilium physiology	http://purl.obolibrary.org/obo/CL_0002368	respiratory epithelial cell	http://purl.obolibrary.org/obo/GO_0031514	motile cilium	http://purl.obolibrary.org/obo/PATO_0001509	functionality
http://purl.obolibrary.org/obo/HP_0004342	Abnormality of galactoside metabolism	http://purl.obolibrary.org/obo/GO_0008152	metabolic process	http://purl.obolibrary.org/obo/CHEBI_24163	galactoside	http://purl.obolibrary.org/obo/PATO_0000001	quality
http://purl.obolibrary.org/obo/HP_0009251	Bracket epiphysis of the distal phalanx of the 4th finger	http://purl.obolibrary.org/obo/UBERON_0004314	distal phalanx of manual digit 5	http://purl.obolibrary.org/obo/UBERON_0004387	epiphysis of phalanx of manus	http://purl.obolibrary.org/obo/PATO_0002142	bracket
http://purl.obolibrary.org/obo/HP_0009262	Bracket epiphysis of the proximal phalanx of the 4th finger	http://purl.obolibrary.org/obo/UBERON_0004330	proximal phalanx of manual digit 4	http://purl.obolibrary.org/obo/UBERON_0004387	epiphysis of phalanx of manus	http://purl.obolibrary.org/obo/PATO_0002142	bracket
http://purl.obolibrary.org/obo/HP_0009197	Bracket epiphysis of the proximal phalanx of the 5th finger	http://purl.obolibrary.org/obo/UBERON_0004331	proximal phalanx of manual digit 5	http://purl.obolibrary.org/obo/UBERON_0004387	epiphysis of phalanx of manus	http://purl.obolibrary.org/obo/PATO_0002142	bracket
http://purl.obolibrary.org/obo/HP_0003320	C1-C2 subluxation	http://purl.obolibrary.org/obo/UBERON_0001093	vertebral bone 2	http://purl.obolibrary.org/obo/UBERON_0001092	vertebral bone 1	http://purl.obolibrary.org/obo/PATO_0002157	partially dislocated
http://purl.obolibrary.org/obo/HP_0008440	C1-C2 vertebral abnormality	http://purl.obolibrary.org/obo/UBERON_0001093	vertebral bone 2	http://purl.obolibrary.org/obo/UBERON_0001092	vertebral bone 1	http://purl.obolibrary.org/obo/PATO_0000001	quality
http://purl.obolibrary.org/obo/HP_0009702	Carpal synostosis	http://purl.obolibrary.org/obo/UBERON_0001435	carpal bone	http://purl.obolibrary.org/obo/UBERON_0001435	carpal bone	http://purl.obolibrary.org/obo/PATO_0000642	fused with
http://purl.obolibrary.org/obo/HP_0002389	Cavum septum pellucidum	http://purl.obolibrary.org/obo/UBERON_0002742	lamina of septum pellucidum	http://purl.obolibrary.org/obo/UBERON_0002742	lamina of septum pellucidum	http://purl.obolibrary.org/obo/PATO_0000651	unfused from
http://purl.obolibrary.org/obo/HP_0030281	Cervical C3/C4 vertebral fusion	http://purl.obolibrary.org/obo/UBERON_0004612	mammalian cervical vertebra 3	http://purl.obolibrary.org/obo/UBERON_0004613	mammalian cervical vertebra 4	http://purl.obolibrary.org/obo/PATO_0000642	fused with
http://purl.obolibrary.org/obo/HP_0004635	Cervical C5/C6 vertebrae fusion	http://purl.obolibrary.org/obo/UBERON_0004614	mammalian cervical vertebra 5	http://purl.obolibrary.org/obo/UBERON_0004615	mammalian cervical vertebra 6	http://purl.obolibrary.org/obo/PATO_0000642	fused with
http://purl.obolibrary.org/obo/HP_0008743	Coronal hypospadias	http://purl.obolibrary.org/obo/UBERON_0012241	male urethral meatus	http://purl.obolibrary.org/obo/UBERON_0016408	corona of glans penis	http://purl.obolibrary.org/obo/PATO_0002181	displaced
http://purl.obolibrary.org/obo/HP_0002673	Coxa valga	http://purl.obolibrary.org/obo/UBERON_0007119	neck of femur	http://purl.obolibrary.org/obo/UBERON_0006862	diaphysis of femur	http://purl.obolibrary.org/obo/PATO_0002327	increased angle to
http://purl.obolibrary.org/obo/HP_0002812	Coxa vara	http://purl.obolibrary.org/obo/UBERON_0007119	neck of femur	http://purl.obolibrary.org/obo/UBERON_0006862	diaphysis of femur	http://purl.obolibrary.org/obo/PATO_0002328	decreased angle to
http://purl.obolibrary.org/obo/HP_0040146	D-2-hydroxyglutaric acidemia	http://purl.obolibrary.org/obo/UBERON_0000178	blood	http://purl.obolibrary.org/obo/CHEBI_32796	(R)-2-hydroxyglutaric acid	http://purl.obolibrary.org/obo/PATO_0000470	increased amount
http://purl.obolibrary.org/obo/HP_0012321	D-2-hydroxyglutaric aciduria	http://purl.obolibrary.org/obo/UBERON_0001088	urine	http://purl.obolibrary.org/obo/CHEBI_32796	(R)-2-hydroxyglutaric acid	http://purl.obolibrary.org/obo/PATO_0000470	increased amount
http://purl.obolibrary.org/obo/HP_0000689	Dental malocclusion	http://purl.obolibrary.org/obo/UBERON_0009680	set of upper jaw teeth	http://purl.obolibrary.org/obo/UBERON_0009679	set of lower jaw teeth	http://purl.obolibrary.org/obo/PATO_0001654	misaligned with
http://purl.obolibrary.org/obo/HP_0001651	Dextrocardia	http://purl.obolibrary.org/obo/UBERON_0000948	heart	http://purl.obolibrary.org/obo/UBERON_0001443	chest	http://purl.obolibrary.org/obo/PATO_0001793	right side of
http://purl.obolibrary.org/obo/HP_0001859	Distal foot symphalangism	http://purl.obolibrary.org/obo/UBERON_0002387	pes	http://purl.obolibrary.org/obo/UBERON_0002387	pes	http://purl.obolibrary.org/obo/PATO_0000642	fused with
http://purl.obolibrary.org/obo/HP_0001204	Distal symphalangism of hands	http://purl.obolibrary.org/obo/UBERON_0003865	distal phalanx of manus	http://purl.obolibrary.org/obo/UBERON_0003864	middle phalanx of manus	http://purl.obolibrary.org/obo/PATO_0000642	fused with
