defined_class	defined_class_label	affected_entity_1_super	affected_entity_1_super_label	pato_id	pato_id_label
http://purl.obolibrary.org/obo/XPO_0141542	U-shaped tibia-fibula	http://purl.obolibrary.org/obo/XAO_0003213	tibia-fibula	http://purl.obolibrary.org/obo/PATO_0001879	U-shaped
http://purl.obolibrary.org/obo/XPO_0103150	abnormal B cell morphology	http://purl.obolibrary.org/obo/XAO_0003158	B cell	http://purl.obolibrary.org/obo/PATO_0000051	morphology
http://purl.obolibrary.org/obo/XPO_0131700	abnormal BMP signaling pathway	http://purl.obolibrary.org/obo/GO_0030509	BMP signaling pathway	http://purl.obolibrary.org/obo/PATO_0001236	process quality
http://purl.obolibrary.org/obo/XPO_0102705	abnormal Bowman's gland morphology	http://purl.obolibrary.org/obo/XAO_0005075	Bowman's gland	http://purl.obolibrary.org/obo/PATO_0000051	morphology
http://purl.obolibrary.org/obo/XPO_0102545	abnormal Brachet's cleft morphology	http://purl.obolibrary.org/obo/XAO_0004456	Brachet's cleft	http://purl.obolibrary.org/obo/PATO_0000051	morphology
http://purl.obolibrary.org/obo/XPO_0102945	abnormal Eberth-Kastschenko layer morphology	http://purl.obolibrary.org/obo/XAO_0005036	Eberth-Kastschenko layer	http://purl.obolibrary.org/obo/PATO_0000051	morphology
http://purl.obolibrary.org/obo/XPO_0131718	abnormal JNK cascade	http://purl.obolibrary.org/obo/GO_0007254	JNK cascade	http://purl.obolibrary.org/obo/PATO_0001236	process quality
http://purl.obolibrary.org/obo/XPO_0102226	abnormal Jacobson's organ morphology	http://purl.obolibrary.org/obo/XAO_0000272	Jacobson's organ	http://purl.obolibrary.org/obo/PATO_0000051	morphology
http://purl.obolibrary.org/obo/XPO_0103189	abnormal Jacobson's vein morphology	http://purl.obolibrary.org/obo/XAO_0004257	Jacobson's vein	http://purl.obolibrary.org/obo/PATO_0000051	morphology
http://purl.obolibrary.org/obo/XPO_0102773	abnormal Keller explant morphology	http://purl.obolibrary.org/obo/XAO_0003053	Keller explant	http://purl.obolibrary.org/obo/PATO_0000051	morphology
http://purl.obolibrary.org/obo/XPO_0101989	abnormal Leydig cell morphology	http://purl.obolibrary.org/obo/XAO_0004405	Leydig cell	http://purl.obolibrary.org/obo/PATO_0000051	morphology
http://purl.obolibrary.org/obo/XPO_0141307	abnormal M band morphology	http://purl.obolibrary.org/obo/XAO_0005312	M band	http://purl.obolibrary.org/obo/PATO_0000051	morphology
http://purl.obolibrary.org/obo/XPO_0131692	abnormal MAP kinase activity	http://purl.obolibrary.org/obo/GO_0004707	MAP kinase activity	http://purl.obolibrary.org/obo/PATO_0001236	process quality
