s,lab,ldef
http://purl.obolibrary.org/obo/PHIPO_0000505,phenotype,
http://purl.obolibrary.org/obo/PHIPO_0000002,single species phenotype,
http://purl.obolibrary.org/obo/PHIPO_0000161,reproductive phenotype,
http://purl.obolibrary.org/obo/PHIPO_0000044,normal reproduction phenotype,
http://purl.obolibrary.org/obo/PHIPO_0000046,normal sexual reproduction,
http://purl.obolibrary.org/obo/PHIPO_0000984,normal meiotic cell cycle,
http://purl.obolibrary.org/obo/PHIPO_0000982,normal meiosis,
http://purl.obolibrary.org/obo/PHIPO_0000098,normal meiosis II,
http://purl.obolibrary.org/obo/PHIPO_0000099,normal meiosis I,
http://purl.obolibrary.org/obo/PHIPO_0000079,normal sexual sporulation,
http://purl.obolibrary.org/obo/PHIPO_0000063,sexual spores present,
http://purl.obolibrary.org/obo/PHIPO_0000057,normal number of sexual spores,
http://purl.obolibrary.org/obo/PHIPO_0000980,normal sexual spore morphology,
http://purl.obolibrary.org/obo/PHIPO_0000302,normal dissemination of sexual spore,
http://purl.obolibrary.org/obo/PHIPO_0000045,normal asexual reproduction,
http://purl.obolibrary.org/obo/PHIPO_0000128,normal asexual spore morphology,
http://purl.obolibrary.org/obo/PHIPO_0000080,normal asexual sporulation,
http://purl.obolibrary.org/obo/PHIPO_0000059,normal number of asexual spores,
http://purl.obolibrary.org/obo/PHIPO_0000064,asexual spores present,
http://purl.obolibrary.org/obo/PHIPO_0000129,normal asexual reproductive structure development,
http://purl.obolibrary.org/obo/PHIPO_0000301,normal dissemination of asexual spore,
http://purl.obolibrary.org/obo/PHIPO_0000043,abnormal reproduction phenotype,
http://purl.obolibrary.org/obo/PHIPO_0000127,abnormal asexual spore morphology,
http://purl.obolibrary.org/obo/PHIPO_0000081,abnormal asexual spore size,
http://purl.obolibrary.org/obo/PHIPO_0000067,asexual spores decreased in size,
http://purl.obolibrary.org/obo/PHIPO_0000065,asexual spores increased in size,
http://purl.obolibrary.org/obo/PHIPO_0000075,abnormal asexual spore shape,
http://purl.obolibrary.org/obo/PHIPO_0000300,abnormal dissemination of asexual spore,
http://purl.obolibrary.org/obo/PHIPO_0000048,abnormal sexual reproduction,
http://purl.obolibrary.org/obo/PHIPO_0000077,abnormal sexual sporulation,
http://purl.obolibrary.org/obo/PHIPO_0000055,delayed sexual sporulation,
http://purl.obolibrary.org/obo/PHIPO_0000073,abnormal number of sexual spores,
http://purl.obolibrary.org/obo/PHIPO_0000050,decreased number of sexual spores,
http://purl.obolibrary.org/obo/PHIPO_0000049,increased number of sexual spores,
http://purl.obolibrary.org/obo/PHIPO_0000056,expedited sexual sporulation,
http://purl.obolibrary.org/obo/PHIPO_0000130,abnormal sexual spore morphology,
http://purl.obolibrary.org/obo/PHIPO_0000071,abnormal sexual spore size,
http://purl.obolibrary.org/obo/PHIPO_0000068,sexual spores increased in size,
http://purl.obolibrary.org/obo/PHIPO_0000069,sexual spores decreased in size,
http://purl.obolibrary.org/obo/PHIPO_0000062,sexual spores absent,
http://purl.obolibrary.org/obo/PHIPO_0000072,abnormal sexual spore shape,
http://purl.obolibrary.org/obo/PHIPO_0000983,abnormal meiotic cell cycle,
http://purl.obolibrary.org/obo/PHIPO_0000981,abnormal meiosis,
http://purl.obolibrary.org/obo/PHIPO_0000096,abnormal meiosis II,
http://purl.obolibrary.org/obo/PHIPO_0000097,abnormal meiosis I,
http://purl.obolibrary.org/obo/PHIPO_0000047,abnormal asexual reproduction,_:b0
http://purl.obolibrary.org/obo/PHIPO_0000078,abnormal asexual sporulation,
http://purl.obolibrary.org/obo/PHIPO_0000122,abnormal endospore formation,
http://purl.obolibrary.org/obo/PHIPO_0000053,delayed asexual sporulation,
http://purl.obolibrary.org/obo/PHIPO_0000082,abnormal number of asexual spores,
http://purl.obolibrary.org/obo/PHIPO_0000051,increased number of asexual spores,
http://purl.obolibrary.org/obo/PHIPO_0000052,decreased number of asexual spores,
