baseClass,baseLabel,equivalentClass,equivalentLabel
http://purl.obolibrary.org/obo/HP_0000002,Abnormality of body height,http://purl.obolibrary.org/obo/MP_0001253,abnormal body height
http://purl.obolibrary.org/obo/HP_0000009,Functional abnormality of the bladder,http://purl.obolibrary.org/obo/MP_0010386,abnormal urinary bladder physiology
http://purl.obolibrary.org/obo/HP_0000013,Hypoplasia of the uterus,http://purl.obolibrary.org/obo/MP_0001121,uterus hypoplasia
http://purl.obolibrary.org/obo/HP_0000028,Cryptorchidism,http://purl.obolibrary.org/obo/MP_0011410,ectopic testis
http://purl.obolibrary.org/obo/HP_0000029,Testicular atrophy,http://purl.obolibrary.org/obo/MP_0003205,testicular atrophy
http://purl.obolibrary.org/obo/HP_0000034,Hydrocele testis,http://purl.obolibrary.org/obo/MP_0003623,hydrocele
http://purl.obolibrary.org/obo/HP_0000037,Male pseudohermaphroditism,http://purl.obolibrary.org/obo/MP_0002789,male pseudohermaphroditism
http://purl.obolibrary.org/obo/HP_0000046,Scrotal hypoplasia,http://purl.obolibrary.org/obo/MP_0003611,scrotum hypoplasia
http://purl.obolibrary.org/obo/HP_0000048,Bifid scrotum,http://purl.obolibrary.org/obo/MP_0003612,bifid scrotum
http://purl.obolibrary.org/obo/HP_0000050,Hypoplastic male external genitalia,http://purl.obolibrary.org/obo/MP_0009203,external male genitalia hypoplasia
http://purl.obolibrary.org/obo/HP_0000060,Clitoral hypoplasia,http://purl.obolibrary.org/obo/MP_0009101,clitoris hypoplasia
http://purl.obolibrary.org/obo/HP_0000068,Urethral atresia,http://purl.obolibrary.org/obo/MP_0003591,urethra atresia
http://purl.obolibrary.org/obo/HP_0000080,Abnormality of reproductive system physiology,http://purl.obolibrary.org/obo/MP_0001919,abnormal reproductive system physiology
http://purl.obolibrary.org/obo/HP_0000083,Renal insufficiency,http://purl.obolibrary.org/obo/MP_0003606,kidney failure
http://purl.obolibrary.org/obo/HP_0000086,Ectopic kidney,http://purl.obolibrary.org/obo/MP_0003600,ectopic kidney
http://purl.obolibrary.org/obo/HP_0000089,Renal hypoplasia,http://purl.obolibrary.org/obo/MP_0003446,renal hypoplasia
http://purl.obolibrary.org/obo/HP_0000092,Tubular atrophy,http://purl.obolibrary.org/obo/MP_0011346,renal tubule atrophy
http://purl.obolibrary.org/obo/HP_0000098,Tall stature,http://purl.obolibrary.org/obo/MP_0001254,increased body height
http://purl.obolibrary.org/obo/HP_0000103,Polyuria,http://purl.obolibrary.org/obo/MP_0001762,polyuria
http://purl.obolibrary.org/obo/HP_0000104,Renal agenesis,http://purl.obolibrary.org/obo/MP_0000520,absent kidney
http://purl.obolibrary.org/obo/HP_0000105,Enlarged kidney,http://purl.obolibrary.org/obo/MP_0003068,enlarged kidney
http://purl.obolibrary.org/obo/HP_0000107,Renal cyst,http://purl.obolibrary.org/obo/MP_0003675,kidney cysts
http://purl.obolibrary.org/obo/HP_0000113,Polycystic kidney dysplasia,http://purl.obolibrary.org/obo/MP_0008528,polycystic kidney
http://purl.obolibrary.org/obo/HP_0000121,Nephrocalcinosis,http://purl.obolibrary.org/obo/MP_0003197,nephrocalcinosis
http://purl.obolibrary.org/obo/HP_0000134,Female hypogonadism,http://purl.obolibrary.org/obo/MP_0001127,small ovary
http://purl.obolibrary.org/obo/HP_0000136,Bifid uterus,http://purl.obolibrary.org/obo/MP_0003559,bifid uterus
http://purl.obolibrary.org/obo/HP_0000138,Ovarian cyst,http://purl.obolibrary.org/obo/MP_0002016,ovary cysts
http://purl.obolibrary.org/obo/HP_0000139,Uterine prolapse,http://purl.obolibrary.org/obo/MP_0005577,uterus prolapse
http://purl.obolibrary.org/obo/HP_0000140,Abnormality of the menstrual cycle,http://purl.obolibrary.org/obo/MP_0003375,abnormal menstrual cycle
http://purl.obolibrary.org/obo/HP_0000141,Amenorrhea,http://purl.obolibrary.org/obo/MP_0003376,amenorrhea
http://purl.obolibrary.org/obo/HP_0000148,Vaginal atresia,http://purl.obolibrary.org/obo/MP_0001144,vagina atresia
http://purl.obolibrary.org/obo/HP_0000151,Aplasia of the uterus,http://purl.obolibrary.org/obo/MP_0003558,absent uterus
http://purl.obolibrary.org/obo/HP_0000158,Macroglossia,http://purl.obolibrary.org/obo/MP_0009906,increased tongue size
http://purl.obolibrary.org/obo/HP_0000159,Abnormal lip morphology,http://purl.obolibrary.org/obo/MP_0003769,abnormal lip morphology
http://purl.obolibrary.org/obo/HP_0000171,Microglossia,http://purl.obolibrary.org/obo/MP_0009907,decreased tongue size
http://purl.obolibrary.org/obo/HP_0000176,Submucous cleft hard palate,http://purl.obolibrary.org/obo/MP_0013548,submucous cleft hard palate
http://purl.obolibrary.org/obo/HP_0000185,Cleft soft palate,http://purl.obolibrary.org/obo/MP_0013546,cleft soft palate
http://purl.obolibrary.org/obo/HP_0000189,Narrow palate,http://purl.obolibrary.org/obo/MP_0003758,narrow palate
http://purl.obolibrary.org/obo/HP_0000190,Abnormal oral frenulum morphology,http://purl.obolibrary.org/obo/MP_0013263,abnormal tongue frenulum morphology
http://purl.obolibrary.org/obo/HP_0000214,Lip telangiectasia,http://purl.obolibrary.org/obo/MP_0003778,lip telangiectases
http://purl.obolibrary.org/obo/HP_0000217,Xerostomia,http://purl.obolibrary.org/obo/MP_0000624,xerostomia
http://purl.obolibrary.org/obo/HP_0000218,High palate,http://purl.obolibrary.org/obo/MP_0003757,high palate
http://purl.obolibrary.org/obo/HP_0000219,Thin upper lip vermilion,http://purl.obolibrary.org/obo/MP_0030168,thin upper lip
http://purl.obolibrary.org/obo/HP_0000239,Large fontanelles,http://purl.obolibrary.org/obo/MP_0030388,large fontanelles
http://purl.obolibrary.org/obo/HP_0000243,Trigonocephaly,http://purl.obolibrary.org/obo/MP_0030368,trigonocephaly
http://purl.obolibrary.org/obo/HP_0000248,Brachycephaly,http://purl.obolibrary.org/obo/MP_0000435,shortened head
http://purl.obolibrary.org/obo/HP_0000270,Delayed cranial suture closure,http://purl.obolibrary.org/obo/MP_0030393,delayed fontanelle closure
http://purl.obolibrary.org/obo/HP_0000272,Malar flattening,http://purl.obolibrary.org/obo/MP_0030377,zygomatic arch hypoplasia
http://purl.obolibrary.org/obo/HP_0000274,Small face,http://purl.obolibrary.org/obo/MP_0030064,small face
http://purl.obolibrary.org/obo/HP_0000275,Narrow face,http://purl.obolibrary.org/obo/MP_0030067,narrow face
http://purl.obolibrary.org/obo/HP_0000276,Long face,http://purl.obolibrary.org/obo/MP_0030070,long face
http://purl.obolibrary.org/obo/HP_0000278,Retrognathia,http://purl.obolibrary.org/obo/MP_0030273,mandibular retrognathia
http://purl.obolibrary.org/obo/HP_0000280,Coarse facial features,http://purl.obolibrary.org/obo/MP_0030074,coarse facial features
http://purl.obolibrary.org/obo/HP_0000283,Broad face,http://purl.obolibrary.org/obo/MP_0030069,broad face
http://purl.obolibrary.org/obo/HP_0000303,Mandibular prognathia,http://purl.obolibrary.org/obo/MP_0010208,prognathia
http://purl.obolibrary.org/obo/HP_0000311,Round face,http://purl.obolibrary.org/obo/MP_0030072,round face
http://purl.obolibrary.org/obo/HP_0000316,Hypertelorism,http://purl.obolibrary.org/obo/MP_0001300,ocular hypertelorism
http://purl.obolibrary.org/obo/HP_0000321,Square face,http://purl.obolibrary.org/obo/MP_0030073,square face
http://purl.obolibrary.org/obo/HP_0000322,Short philtrum,http://purl.obolibrary.org/obo/MP_0030193,short philtrum
http://purl.obolibrary.org/obo/HP_0000324,Facial asymmetry,http://purl.obolibrary.org/obo/MP_0030099,facial asymmetry
http://purl.obolibrary.org/obo/HP_0000327,Hypoplasia of the maxilla,http://purl.obolibrary.org/obo/MP_0000457,maxilla hypoplasia
http://purl.obolibrary.org/obo/HP_0000331,Short chin,http://purl.obolibrary.org/obo/MP_0030244,short chin
http://purl.obolibrary.org/obo/HP_0000340,Sloping forehead,http://purl.obolibrary.org/obo/MP_0030048,sloping forehead
http://purl.obolibrary.org/obo/HP_0000348,High forehead,http://purl.obolibrary.org/obo/MP_0030032,high forehead
http://purl.obolibrary.org/obo/HP_0000350,Small forehead,http://purl.obolibrary.org/obo/MP_0030043,small forehead
http://purl.obolibrary.org/obo/HP_0000358,Posteriorly rotated ears,http://purl.obolibrary.org/obo/MP_0003715,posteriorly rotated ears
http://purl.obolibrary.org/obo/HP_0000365,Hearing impairment,http://purl.obolibrary.org/obo/MP_0001967,deafness
http://purl.obolibrary.org/obo/HP_0000369,Low-set ears,http://purl.obolibrary.org/obo/MP_0000024,lowered ear position
http://purl.obolibrary.org/obo/HP_0000377,Abnormality of the pinna,http://purl.obolibrary.org/obo/MP_0000022,abnormal ear shape
http://purl.obolibrary.org/obo/HP_0000385,Small earlobe,http://purl.obolibrary.org/obo/MP_0003679,ear lobe hypoplasia
http://purl.obolibrary.org/obo/HP_0000400,Macrotia,http://purl.obolibrary.org/obo/MP_0000017,big ears
http://purl.obolibrary.org/obo/HP_0000420,Short nasal septum,http://purl.obolibrary.org/obo/MP_0030203,short nasal septum
http://purl.obolibrary.org/obo/HP_0000426,Prominent nasal bridge,http://purl.obolibrary.org/obo/MP_0030037,prominent nasal bridge
http://purl.obolibrary.org/obo/HP_0000431,Wide nasal bridge,http://purl.obolibrary.org/obo/MP_0000449,broad nasal bridge
http://purl.obolibrary.org/obo/HP_0000452,Choanal stenosis,http://purl.obolibrary.org/obo/MP_0030062,choanal stenosis
http://purl.obolibrary.org/obo/HP_0000453,Choanal atresia,http://purl.obolibrary.org/obo/MP_0008970,choanal atresia
http://purl.obolibrary.org/obo/HP_0000456,Bifid nasal tip,http://purl.obolibrary.org/obo/MP_0030116,bifid nasal tip
http://purl.obolibrary.org/obo/HP_0000470,Short neck,http://purl.obolibrary.org/obo/MP_0012721,short neck
http://purl.obolibrary.org/obo/HP_0000472,Long neck,http://purl.obolibrary.org/obo/MP_0012720,elongated neck
http://purl.obolibrary.org/obo/HP_0000481,Abnormal cornea morphology,http://purl.obolibrary.org/obo/MP_0001312,abnormal cornea morphology
http://purl.obolibrary.org/obo/HP_0000483,Astigmatism,http://purl.obolibrary.org/obo/MP_0006151,astigmatism
http://purl.obolibrary.org/obo/HP_0000496,Abnormality of eye movement,http://purl.obolibrary.org/obo/MP_0001389,abnormal eye movement
http://purl.obolibrary.org/obo/HP_0000504,Abnormality of vision,http://purl.obolibrary.org/obo/MP_0002090,abnormal vision
http://purl.obolibrary.org/obo/HP_0000506,Telecanthus,http://purl.obolibrary.org/obo/MP_0030166,increased inner canthal distance
http://purl.obolibrary.org/obo/HP_0000518,Cataract,http://purl.obolibrary.org/obo/MP_0001304,cataract
http://purl.obolibrary.org/obo/HP_0000524,Conjunctival telangiectasia,http://purl.obolibrary.org/obo/MP_0006193,conjunctival telangiectasia
http://purl.obolibrary.org/obo/HP_0000525,Abnormality iris morphology,http://purl.obolibrary.org/obo/MP_0001322,abnormal iris morphology
http://purl.obolibrary.org/obo/HP_0000526,Aniridia,http://purl.obolibrary.org/obo/MP_0005261,aniridia
http://purl.obolibrary.org/obo/HP_0000559,Corneal scarring,http://purl.obolibrary.org/obo/MP_0001316,corneal scarring
http://purl.obolibrary.org/obo/HP_0000573,Retinal hemorrhage,http://purl.obolibrary.org/obo/MP_0006185,retinal hemorrhage
http://purl.obolibrary.org/obo/HP_0000581,Blepharophimosis,http://purl.obolibrary.org/obo/MP_0005287,narrow eye opening
