x,y,label_x,label_y,matching_category,curie_x,curie_y
http://purl.obolibrary.org/obo/HP_0009124,http://purl.obolibrary.org/obo/MP_0000003,Abnormal adipose tissue morphology (HPO),abnormal adipose tissue morphology (MPO),lexical,HP:0009124,MP:0000003
http://purl.obolibrary.org/obo/HP_0008551,http://purl.obolibrary.org/obo/MP_0000018,Microtia (HPO),small ears (MPO),lexical,HP:0008551,MP:0000018
http://purl.obolibrary.org/obo/HP_0000411,http://purl.obolibrary.org/obo/MP_0000021,Protruding ear (HPO),prominent ears (MPO),lexical,HP:0000411,MP:0000021
http://purl.obolibrary.org/obo/HP_0000375,http://purl.obolibrary.org/obo/MP_0000031,Abnormal cochlea morphology (HPO),abnormal cochlea morphology (MPO),lexical,HP:0000375,MP:0000031
http://purl.obolibrary.org/obo/HP_0009910,http://purl.obolibrary.org/obo/MP_0000040,Aplasia of the middle ear ossicles (HPO),absent middle ear ossicles (MPO),lexical,HP:0009910,MP:0000040
http://purl.obolibrary.org/obo/HP_0002659,http://purl.obolibrary.org/obo/MP_0000061,Increased susceptibility to fractures (HPO),fragile skeleton (MPO),lexical,HP:0002659,MP:0000061
http://purl.obolibrary.org/obo/HP_0004349,http://purl.obolibrary.org/obo/MP_0000063,Reduced bone mineral density (HPO),decreased bone mineral density (MPO),lexical,HP:0004349,MP:0000063
http://purl.obolibrary.org/obo/HP_0011002,http://purl.obolibrary.org/obo/MP_0000067,Osteopetrosis (HPO),osteopetrosis (MPO),lexical,HP:0011002,MP:0000067
http://purl.obolibrary.org/obo/HP_0001363,http://purl.obolibrary.org/obo/MP_0000081,Craniosynostosis (HPO),premature cranial suture closure (MPO),lexical,HP:0001363,MP:0000081
http://purl.obolibrary.org/obo/HP_0000260,http://purl.obolibrary.org/obo/MP_0000085,Wide anterior fontanel (HPO),large anterior fontanelle (MPO),lexical,HP:0000260,MP:0000085
http://purl.obolibrary.org/obo/HP_0009939,http://purl.obolibrary.org/obo/MP_0000087,Mandibular aplasia (HPO),absent mandible (MPO),lexical,HP:0009939,MP:0000087
http://purl.obolibrary.org/obo/HP_0100629,http://purl.obolibrary.org/obo/MP_0000108,Midline facial cleft (HPO),midline facial cleft (MPO),lexical,HP:0100629,MP:0000108
http://purl.obolibrary.org/obo/HP_0000175,http://purl.obolibrary.org/obo/MP_0000111,Cleft palate (HPO),cleft palate (MPO),lexical,HP:0000175,MP:0000111
http://purl.obolibrary.org/obo/HP_0400001,http://purl.obolibrary.org/obo/MP_0000114,Chin with vertical crease (HPO),cleft chin (MPO),lexical,HP:0400001,MP:0000114
http://purl.obolibrary.org/obo/HP_0006288,http://purl.obolibrary.org/obo/MP_0000122,Advanced eruption of teeth (HPO),premature tooth eruption (MPO),lexical,HP:0006288,MP:0000122
http://purl.obolibrary.org/obo/HP_0100671,http://purl.obolibrary.org/obo/MP_0000130,Abnormal trabecular bone morphology (HPO),abnormal trabecular bone morphology (MPO),lexical,HP:0100671,MP:0000130
http://purl.obolibrary.org/obo/HP_0000921,http://purl.obolibrary.org/obo/MP_0000151,Missing ribs (HPO),absent ribs (MPO),lexical,HP:0000921,MP:0000151
http://purl.obolibrary.org/obo/HP_0003307,http://purl.obolibrary.org/obo/MP_0000162,Hyperlordosis (HPO),lordosis (MPO),lexical,HP:0003307,MP:0000162
http://purl.obolibrary.org/obo/HP_0002763,http://purl.obolibrary.org/obo/MP_0000163,Abnormal cartilage morphology (HPO),abnormal cartilage morphology (MPO),lexical,HP:0002763,MP:0000163
http://purl.obolibrary.org/obo/HP_0031851,http://purl.obolibrary.org/obo/MP_0000208,Reduced hematocrit (HPO),decreased hematocrit (MPO),lexical,HP:0031851,MP:0000208
http://purl.obolibrary.org/obo/HP_0001974,http://purl.obolibrary.org/obo/MP_0000218,Leukocytosis (HPO),increased leukocyte cell number (MPO),lexical,HP:0001974,MP:0000218
http://purl.obolibrary.org/obo/HP_0011897,http://purl.obolibrary.org/obo/MP_0000219,Neutrophilia (HPO),increased neutrophil cell number (MPO),lexical,HP:0011897,MP:0000219
