# curie_map:
#   APO: http://purl.obolibrary.org/obo/APO_
#   DDPHENO: http://purl.obolibrary.org/obo/DDPHENO_
#   DPO: http://purl.obolibrary.org/obo/FBcv_
#   FYPO: http://purl.obolibrary.org/obo/FYPO_
#   HP: http://purl.obolibrary.org/obo/HP_
#   MGPO: http://purl.obolibrary.org/obo/MGPO_
#   MP: http://purl.obolibrary.org/obo/MP_
#   PLANP: http://purl.obolibrary.org/obo/PLANP_
#   WBPhenotype: http://purl.obolibrary.org/obo/WBPhenotype_
#   XPO: http://purl.obolibrary.org/obo/XPO_
#   ZP: http://purl.obolibrary.org/obo/ZP_
#   phipo: http://purl.obolibrary.org/obo/PHIPO_
# license: https://w3id.org/sssom/license/unspecified
# mapping_set_id: https://w3id.org/sssom/mappings/8619a8fb-deae-4d9b-8239-33eb56e27cca
subject_id	subject_label	predicate_id	object_id	object_label	mapping_justification	mapping_tool	confidence	subject_match_field	object_match_field	match_string	subject_preprocessing	object_preprocessing
APO:0000002	abnormal (APO)	skos:exactMatch	WBPhenotype:0000886	nematode phenotype (WBP)	semapv:LexicalMatching	oaklib	0.8	rdfs:label	oio:hasExactSynonym	abnormal	semapv:RegularExpressionReplacement	
APO:0000030	lifespan (APO)	skos:closeMatch	MP:0010768	mortality/aging (MPO)	semapv:LexicalMatching	oaklib	0.5	rdfs:label	oio:hasRelatedSynonym	lifespan	semapv:RegularExpressionReplacement	
APO:0000045	sterile (APO)	skos:exactMatch	FYPO:0000280	sterile (FYPO)	semapv:LexicalMatching	oaklib	0.8497788951776651	rdfs:label	rdfs:label	sterile	semapv:RegularExpressionReplacement	semapv:RegularExpressionReplacement
APO:0000045	sterile (APO)	skos:exactMatch	WBPhenotype:0000688	sterile (WBP)	semapv:LexicalMatching	oaklib	0.8497788951776651	rdfs:label	rdfs:label	sterile	semapv:RegularExpressionReplacement	semapv:RegularExpressionReplacement
APO:0000045	sterile (APO)	skos:exactMatch	MP:0001924	infertility (MPO)	semapv:LexicalMatching	oaklib	0.8	rdfs:label	oio:hasExactSynonym	sterile	semapv:RegularExpressionReplacement	
APO:0000080	stress resistance (APO)	skos:exactMatch	FYPO:0002046	resistance to stress (FYPO)	semapv:LexicalMatching	oaklib	0.8	oio:hasExactSynonym	rdfs:label	resistance to stress		semapv:RegularExpressionReplacement
APO:0000082	osmotic stress resistance (APO)	skos:exactMatch	FYPO:0000851	resistance to osmotic stress (FYPO)	semapv:LexicalMatching	oaklib	0.8	oio:hasExactSynonym	rdfs:label	resistance to osmotic stress		semapv:RegularExpressionReplacement
APO:0000083	oxidative stress resistance (APO)	skos:exactMatch	FYPO:0007161	resistance to oxidative stress (FYPO)	semapv:LexicalMatching	oaklib	0.8	oio:hasExactSynonym	rdfs:label	resistance to oxidative stress		semapv:RegularExpressionReplacement
APO:0000097	auxotrophy (APO)	skos:exactMatch	FYPO:0000128	auxotrophy (FYPO)	semapv:LexicalMatching	oaklib	0.8497788951776651	rdfs:label	rdfs:label	auxotrophy	semapv:RegularExpressionReplacement	semapv:RegularExpressionReplacement
APO:0000111	viability (APO)	skos:closeMatch	MP:0002169	no abnormal phenotype detected (MPO)	semapv:LexicalMatching	oaklib	0.5	rdfs:label	oio:hasRelatedSynonym	viability	semapv:RegularExpressionReplacement	
