s,lab,ldef
http://purl.obolibrary.org/obo/HP_0000118,Phenotypic abnormality,_:b0
http://purl.obolibrary.org/obo/HP_0001939,Abnormality of metabolism/homeostasis,_:b1
http://purl.obolibrary.org/obo/HP_0012337,Abnormal homeostasis,
http://purl.obolibrary.org/obo/HP_0012338,Abnormal energy expenditure,
http://purl.obolibrary.org/obo/HP_0012339,Increased resting energy expenditure,
http://purl.obolibrary.org/obo/HP_0012340,Decreased resting energy expenditure,
http://purl.obolibrary.org/obo/HP_0004370,Abnormality of temperature regulation,_:b2
http://purl.obolibrary.org/obo/HP_0006901,Impaired thermal sensitivity,
http://purl.obolibrary.org/obo/HP_0005968,Temperature instability,
http://purl.obolibrary.org/obo/HP_0001945,Fever,
http://purl.obolibrary.org/obo/HP_0001954,Recurrent fever,
http://purl.obolibrary.org/obo/HP_0032323,Periodic fever,
http://purl.obolibrary.org/obo/HP_0032324,Non-periodic recurrent fever,
http://purl.obolibrary.org/obo/HP_0011134,Low-grade fever,
http://purl.obolibrary.org/obo/HP_0030244,Maternal fever in pregnancy,
http://purl.obolibrary.org/obo/HP_0030245,Intrapartum fever,
http://purl.obolibrary.org/obo/HP_0030246,Maternal first trimester fever,
http://purl.obolibrary.org/obo/HP_0001955,Unexplained fevers,
http://purl.obolibrary.org/obo/HP_0002045,Hypothermia,
http://purl.obolibrary.org/obo/HP_0005964,Intermittent hypothermia,
http://purl.obolibrary.org/obo/HP_0002046,Heat intolerance,
http://purl.obolibrary.org/obo/HP_0002047,Malignant hyperthermia,
http://purl.obolibrary.org/obo/HP_0040127,Abnormal sweat homeostasis,
http://purl.obolibrary.org/obo/HP_0012236,Elevated sweat chloride,_:b3
http://purl.obolibrary.org/obo/HP_0040128,Abnormal sweat electrolytes,
http://purl.obolibrary.org/obo/HP_0011032,Abnormality of fluid regulation,_:b4
http://purl.obolibrary.org/obo/HP_0000969,Edema,_:b5
http://purl.obolibrary.org/obo/HP_0002181,Cerebral edema,_:b6
http://purl.obolibrary.org/obo/HP_0031188,Genital edema,
http://purl.obolibrary.org/obo/HP_0000282,Facial edema,_:b7
http://purl.obolibrary.org/obo/HP_0100539,Periorbital edema,_:b8
http://purl.obolibrary.org/obo/HP_0100540,Palpebral edema,_:b9
