s,lab,ldef
http://purl.obolibrary.org/obo/XPO_00000000,Xenopus Phenotype,_:b0
http://purl.obolibrary.org/obo/XPO_0100081,abnormal anatomical entity in vitro,_:b1
http://purl.obolibrary.org/obo/XPO_0100969,abnormal disaggregated/reaggregated ectoderm treated with activin,_:b2
http://purl.obolibrary.org/obo/XPO_0102601,abnormal disaggregated/reaggregated ectoderm treated with activin morphology,_:b3
http://purl.obolibrary.org/obo/XPO_0101713,abnormal anatomical entity in vitro morphology,_:b4
http://purl.obolibrary.org/obo/XPO_0102773,abnormal Keller explant morphology,_:b5
http://purl.obolibrary.org/obo/XPO_0102742,abnormal cell-free extract morphology,_:b6
http://purl.obolibrary.org/obo/XPO_0102741,abnormal egg cell-free extract morphology,_:b7
http://purl.obolibrary.org/obo/XPO_0103201,abnormal activin-induced ectoderm morphology,_:b8
http://purl.obolibrary.org/obo/XPO_0101141,abnormal Keller explant,_:b9
http://purl.obolibrary.org/obo/XPO_0101569,abnormal activin-induced ectoderm,_:b10
http://purl.obolibrary.org/obo/XPO_0101110,abnormal cell-free extract,_:b11
http://purl.obolibrary.org/obo/XPO_0101109,abnormal egg cell-free extract,_:b12
http://purl.obolibrary.org/obo/XPO_0116434,abnormal biological process,_:b13
http://purl.obolibrary.org/obo/XPO_0133403,abnormal developmental process,_:b14
http://purl.obolibrary.org/obo/XPO_0103925,decreased neuron differentiation in optic tectum,_:b15
http://purl.obolibrary.org/obo/XPO_0131765,abnormal development of anatomical region,_:b16
http://purl.obolibrary.org/obo/XPO_0131932,abnormal development of animal hemisphere,_:b17
http://purl.obolibrary.org/obo/XPO_0132906,abnormal development of optic disc,_:b18
http://purl.obolibrary.org/obo/XPO_0133260,abnormal development of posterior region,_:b19
http://purl.obolibrary.org/obo/XPO_0132807,abnormal development of anterior endomesoderm,_:b20
http://purl.obolibrary.org/obo/XPO_0131788,abnormal development of trunk,_:b21
http://purl.obolibrary.org/obo/XPO_0132550,abnormal development of interdigital region,_:b22
http://purl.obolibrary.org/obo/XPO_0132091,abnormal development of intersomitic region,_:b23
http://purl.obolibrary.org/obo/XPO_0132658,abnormal development of ventral endoderm,_:b24
http://purl.obolibrary.org/obo/XPO_0132501,abnormal development of marginal zone (sensu neural),_:b25
http://purl.obolibrary.org/obo/XPO_0133068,abnormal development of joint region,_:b26
http://purl.obolibrary.org/obo/XPO_0133304,abnormal development of digit-joint region,_:b27
http://purl.obolibrary.org/obo/XPO_0131999,abnormal development of periocular region,_:b28
http://purl.obolibrary.org/obo/XPO_0132456,abnormal development of prime meridian,_:b29
http://purl.obolibrary.org/obo/XPO_0133325,abnormal development of postero-dorsal region,_:b30
http://purl.obolibrary.org/obo/XPO_0133276,abnormal development of forelimb region,_:b31
http://purl.obolibrary.org/obo/XPO_0133328,abnormal development of animal pole,_:b32
http://purl.obolibrary.org/obo/XPO_0132200,abnormal development of head region,_:b33
http://purl.obolibrary.org/obo/XPO_0131775,abnormal development of tympanic disk,_:b34
http://purl.obolibrary.org/obo/XPO_0132611,abnormal development of intercanthal region,_:b35
http://purl.obolibrary.org/obo/XPO_0132668,abnormal development of anterior endoderm,_:b36
http://purl.obolibrary.org/obo/XPO_0132209,abnormal development of eye primordium,_:b37
http://purl.obolibrary.org/obo/XPO_0132567,abnormal development of retinal stem cell region,_:b38
http://purl.obolibrary.org/obo/XPO_0132410,abnormal development of anterior region,_:b39
http://purl.obolibrary.org/obo/XPO_0132927,abnormal development of central retina,_:b40
http://purl.obolibrary.org/obo/XPO_0133028,abnormal development of dorso-lateral region,_:b41
http://purl.obolibrary.org/obo/XPO_0131905,abnormal development of periotic region,_:b42
http://purl.obolibrary.org/obo/XPO_0132823,abnormal development of basal region,_:b43
http://purl.obolibrary.org/obo/XPO_0133335,abnormal development of postero-ventral region,_:b44
http://purl.obolibrary.org/obo/XPO_0133184,abnormal development of ventro-lateral region,_:b45
http://purl.obolibrary.org/obo/XPO_0132678,abnormal development of proximal tubule branch,_:b46
http://purl.obolibrary.org/obo/XPO_0133131,abnormal development of axial region,_:b47
http://purl.obolibrary.org/obo/XPO_0133135,abnormal development of medial region,_:b48
http://purl.obolibrary.org/obo/XPO_0133137,abnormal development of posterior endoderm,_:b49
http://purl.obolibrary.org/obo/XPO_0132986,abnormal development of vegetal pole,_:b50
http://purl.obolibrary.org/obo/XPO_0132114,abnormal development of ventral endomesoderm,_:b51
http://purl.obolibrary.org/obo/XPO_0132010,abnormal development of tail region,_:b52
http://purl.obolibrary.org/obo/XPO_0133037,abnormal development of dorsal region,_:b53
http://purl.obolibrary.org/obo/XPO_0131862,abnormal development of pharyngeal region,_:b54
http://purl.obolibrary.org/obo/XPO_0133291,abnormal development of peripheral retina,_:b55
http://purl.obolibrary.org/obo/XPO_0131867,abnormal development of antero-dorsal region,_:b56
http://purl.obolibrary.org/obo/XPO_0132787,abnormal development of apical region,_:b57
http://purl.obolibrary.org/obo/XPO_0131764,abnormal development of retinal progenitor cell region,_:b58
http://purl.obolibrary.org/obo/XPO_0132991,abnormal development of antero-ventral region,_:b59
http://purl.obolibrary.org/obo/XPO_0132996,abnormal development of ventricular zone,_:b60
http://purl.obolibrary.org/obo/XPO_0133148,abnormal development of hindlimb region,_:b61
http://purl.obolibrary.org/obo/XPO_0132023,abnormal development of vegetal hemisphere,_:b62
http://purl.obolibrary.org/obo/XPO_0132381,abnormal development of optic field,_:b63
http://purl.obolibrary.org/obo/XPO_0133049,abnormal development of anterior entopeduncular region,_:b64
http://purl.obolibrary.org/obo/XPO_0131875,abnormal development of dorsal endomesoderm,_:b65
http://purl.obolibrary.org/obo/XPO_0132387,abnormal development of trunk region,_:b66
http://purl.obolibrary.org/obo/XPO_0132695,abnormal development of posterior endomesoderm,_:b67
http://purl.obolibrary.org/obo/XPO_0133203,abnormal development of ventral region,_:b68
http://purl.obolibrary.org/obo/XPO_0132953,abnormal development of thoracic region,_:b69
http://purl.obolibrary.org/obo/XPO_0132496,abnormal development of left-right organizer,_:b70
http://purl.obolibrary.org/obo/XPO_0131798,abnormal development of anatomical space,_:b71
http://purl.obolibrary.org/obo/XPO_0131936,abnormal development of brain ventricle,_:b72
http://purl.obolibrary.org/obo/XPO_0133132,abnormal development of fourth ventricle,_:b73
http://purl.obolibrary.org/obo/XPO_0131814,abnormal development of lateral ventricle,_:b74
http://purl.obolibrary.org/obo/XPO_0133085,abnormal development of left ventricle,_:b75
http://purl.obolibrary.org/obo/XPO_0131813,abnormal development of right ventricle,_:b76
http://purl.obolibrary.org/obo/XPO_0132376,abnormal development of third ventricle,_:b77
http://purl.obolibrary.org/obo/XPO_0132854,abnormal development of oral cavity,_:b78
http://purl.obolibrary.org/obo/XPO_0133261,abnormal development of pronephric sinus,_:b79
http://purl.obolibrary.org/obo/XPO_0132808,abnormal development of medium cavity,_:b80
http://purl.obolibrary.org/obo/XPO_0133162,abnormal development of nostril,_:b81
http://purl.obolibrary.org/obo/XPO_0133213,abnormal development of fenestra basicranialis,_:b82
http://purl.obolibrary.org/obo/XPO_0132141,abnormal development of olfactory pit,_:b83
http://purl.obolibrary.org/obo/XPO_0132400,abnormal development of oval window,_:b84
http://purl.obolibrary.org/obo/XPO_0132762,abnormal development of blastocoel,_:b85
http://purl.obolibrary.org/obo/XPO_0133129,abnormal development of neurocoel,_:b86
http://purl.obolibrary.org/obo/XPO_0131758,abnormal development of archenteron,_:b87
http://purl.obolibrary.org/obo/XPO_0132162,abnormal development of principal cavity,_:b88
http://purl.obolibrary.org/obo/XPO_0132219,abnormal development of mouth,_:b89
http://purl.obolibrary.org/obo/XPO_0132889,abnormal development of dorsal lymph space,_:b90
http://purl.obolibrary.org/obo/XPO_0131864,abnormal development of coelom,_:b91
http://purl.obolibrary.org/obo/XPO_0132733,abnormal development of filter chamber,_:b92
http://purl.obolibrary.org/obo/XPO_0131818,abnormal development of mesonephric sinus,_:b93
http://purl.obolibrary.org/obo/XPO_0133246,abnormal development of myocoelic slit,_:b94
http://purl.obolibrary.org/obo/XPO_0133090,abnormal development of fenestra subocularis,_:b95
http://purl.obolibrary.org/obo/XPO_0132585,abnormal development of pharyngeal cavity,_:b96
http://purl.obolibrary.org/obo/XPO_0132536,abnormal development of choana,_:b97
http://purl.obolibrary.org/obo/XPO_0132435,abnormal development of pupil,_:b98
http://purl.obolibrary.org/obo/XPO_0131745,abnormal axis elongation,_:b99
http://purl.obolibrary.org/obo/XPO_0103771,arrested axis elongation,_:b100
http://purl.obolibrary.org/obo/XPO_0103772,arrested developmental process,_:b101
http://purl.obolibrary.org/obo/XPO_0131975,abnormal development of anatomical line,_:b102
http://purl.obolibrary.org/obo/XPO_0132446,abnormal development of midbrain-hindbrain boundary,_:b103
http://purl.obolibrary.org/obo/XPO_0133310,abnormal development of zona limitans intrathalamica,_:b104
http://purl.obolibrary.org/obo/XPO_0132559,abnormal development of anatomical axis,_:b105
http://purl.obolibrary.org/obo/XPO_0133210,abnormal development of animal-vegetal axis,_:b106
http://purl.obolibrary.org/obo/XPO_0132558,abnormal development of dorsal-ventral axis,_:b107
http://purl.obolibrary.org/obo/XPO_0133336,abnormal development of anterior-posterior axis,_:b108
http://purl.obolibrary.org/obo/XPO_0133297,abnormal development of proximal-distal axis,_:b109
http://purl.obolibrary.org/obo/XPO_0132943,abnormal development of left-right axis,_:b110
http://purl.obolibrary.org/obo/XPO_0133164,abnormal development of archenteron roof midline,_:b111
http://purl.obolibrary.org/obo/XPO_0133026,abnormal development of forebrain-midbrain boundary,_:b112
http://purl.obolibrary.org/obo/XPO_0131760,abnormal development of anatomical structure,_:b113
http://purl.obolibrary.org/obo/XPO_0131833,abnormal development of cell part,_:b114
http://purl.obolibrary.org/obo/XPO_0133001,abnormal development of wedge region,_:b115
http://purl.obolibrary.org/obo/XPO_0133109,abnormal development of plasma membrane,_:b116
http://purl.obolibrary.org/obo/XPO_0133263,abnormal development of yolk platelet,_:b117
http://purl.obolibrary.org/obo/XPO_0132754,abnormal development of equatorial belt,_:b118
http://purl.obolibrary.org/obo/XPO_0132755,abnormal development of mitochondrial cloud,_:b119
http://purl.obolibrary.org/obo/XPO_0133215,abnormal development of adherens junction,_:b120
http://purl.obolibrary.org/obo/XPO_0132706,abnormal development of cortical actin cytoskeleton,_:b121
http://purl.obolibrary.org/obo/XPO_0133060,abnormal development of zygote cortex,_:b122
http://purl.obolibrary.org/obo/XPO_0133112,abnormal development of vegetal cortex,_:b123
http://purl.obolibrary.org/obo/XPO_0132607,abnormal development of microtubule,_:b124
http://purl.obolibrary.org/obo/XPO_0131911,abnormal development of spindle microtubule,_:b125
http://purl.obolibrary.org/obo/XPO_0131910,abnormal development of astral microtubule,_:b126
http://purl.obolibrary.org/obo/XPO_0132557,abnormal development of filopodium,_:b127
http://purl.obolibrary.org/obo/XPO_0133069,abnormal development of astrocyte end-foot,_:b128
http://purl.obolibrary.org/obo/XPO_0133321,abnormal development of endoplasmic reticulum,_:b129
http://purl.obolibrary.org/obo/XPO_0133171,abnormal development of germinal granule,_:b130
http://purl.obolibrary.org/obo/XPO_0132716,abnormal development of centriole,_:b131
http://purl.obolibrary.org/obo/XPO_0132257,abnormal development of centrosome,_:b132
http://purl.obolibrary.org/obo/XPO_0132150,abnormal development of lampbrush chromosome,_:b133
http://purl.obolibrary.org/obo/XPO_0132562,abnormal development of cytoplasm,_:b134
http://purl.obolibrary.org/obo/XPO_0133074,abnormal development of ciliary axoneme,_:b135
http://purl.obolibrary.org/obo/XPO_0133077,abnormal development of mitotic spindle,_:b136
http://purl.obolibrary.org/obo/XPO_0132414,abnormal development of basal body,_:b137
http://purl.obolibrary.org/obo/XPO_0132776,abnormal development of subcortical cytoplasm,_:b138
http://purl.obolibrary.org/obo/XPO_0132317,abnormal development of cilium,_:b139
http://purl.obolibrary.org/obo/XPO_0132211,abnormal development of myofibril,_:b140
http://purl.obolibrary.org/obo/XPO_0133139,abnormal development of apical junction complex,_:b141
http://purl.obolibrary.org/obo/XPO_0132528,abnormal development of sarcomere,_:b142
http://purl.obolibrary.org/obo/XPO_0132785,abnormal development of oocyte cortex,_:b143
http://purl.obolibrary.org/obo/XPO_0133299,abnormal development of centromere,_:b144
http://purl.obolibrary.org/obo/XPO_0132688,abnormal development of nucleus,_:b145
http://purl.obolibrary.org/obo/XPO_0132687,abnormal development of germinal vesicle,_:b146
http://purl.obolibrary.org/obo/XPO_0133198,abnormal development of actin filament,_:b147
http://purl.obolibrary.org/obo/XPO_0132990,abnormal development of sperm entry point,_:b148
http://purl.obolibrary.org/obo/XPO_0132121,abnormal development of neuron projection,_:b149
http://purl.obolibrary.org/obo/XPO_0132120,abnormal development of axon,_:b150
http://purl.obolibrary.org/obo/XPO_0132541,abnormal development of motor axon,_:b151
http://purl.obolibrary.org/obo/XPO_0132955,abnormal development of dendrite,_:b152
http://purl.obolibrary.org/obo/XPO_0133042,abnormal development of Roux spot,_:b153
http://purl.obolibrary.org/obo/XPO_0132892,abnormal development of M band,_:b154
http://purl.obolibrary.org/obo/XPO_0132485,abnormal development of ring structure,_:b155
http://purl.obolibrary.org/obo/XPO_0132430,abnormal development of ooplasm,_:b156
http://purl.obolibrary.org/obo/XPO_0133302,abnormal development of growth cone,_:b157
http://purl.obolibrary.org/obo/XPO_0132231,abnormal development of actin cytoskeleton,_:b158
http://purl.obolibrary.org/obo/XPO_0132181,abnormal development of germ plasm,_:b159
http://purl.obolibrary.org/obo/XPO_0132649,abnormal development of kinetochore,_:b160
http://purl.obolibrary.org/obo/XPO_0131805,abnormal development of embryonic structure,_:b161
http://purl.obolibrary.org/obo/XPO_0132061,abnormal development of aortic arch,_:b162
http://purl.obolibrary.org/obo/XPO_0132392,abnormal development of aortic arch 3,_:b163
http://purl.obolibrary.org/obo/XPO_0132750,abnormal development of aortic arch 5,_:b164
http://purl.obolibrary.org/obo/XPO_0132656,abnormal development of aortic arch 1,_:b165
http://purl.obolibrary.org/obo/XPO_0132554,abnormal development of aortic arch 2,_:b166
http://purl.obolibrary.org/obo/XPO_0133339,abnormal development of aortic arch 4,_:b167
http://purl.obolibrary.org/obo/XPO_0132060,abnormal development of aortic arch 6,_:b168
http://purl.obolibrary.org/obo/XPO_0131849,abnormal development of primary germ layer,_:b169
http://purl.obolibrary.org/obo/XPO_0131830,abnormal development of mesoderm,_:b170
http://purl.obolibrary.org/obo/XPO_0132701,abnormal development of pronephric mesenchyme,_:b171
http://purl.obolibrary.org/obo/XPO_0131900,abnormal development of ectoderm,_:b172
http://purl.obolibrary.org/obo/XPO_0131802,abnormal development of endoderm,_:b173
http://purl.obolibrary.org/obo/XPO_0132076,abnormal development of endomesoderm,_:b174
http://purl.obolibrary.org/obo/XPO_0132288,abnormal development of neuroectoderm,_:b175
http://purl.obolibrary.org/obo/XPO_0131778,abnormal development of primordium,_:b176
http://purl.obolibrary.org/obo/XPO_0132112,abnormal development of cranial placode,_:b177
http://purl.obolibrary.org/obo/XPO_0132032,abnormal development of non-neurogenic ectodermal placode,_:b178
http://purl.obolibrary.org/obo/XPO_0132712,abnormal development of lens placode,_:b179
http://purl.obolibrary.org/obo/XPO_0132031,abnormal development of adenohypophyseal placode,_:b180
http://purl.obolibrary.org/obo/XPO_0131873,abnormal development of neurogenic placode,_:b181
http://purl.obolibrary.org/obo/XPO_0133006,abnormal development of profundal placode,_:b182
http://purl.obolibrary.org/obo/XPO_0132180,abnormal development of epibranchial placode,_:b183
http://purl.obolibrary.org/obo/XPO_0132806,abnormal development of vagal epibranchial placode,_:b184
http://purl.obolibrary.org/obo/XPO_0133224,abnormal development of facial epibranchial placode,_:b185
http://purl.obolibrary.org/obo/XPO_0132643,abnormal development of glossopharyngeal epibranchial placode,_:b186
http://purl.obolibrary.org/obo/XPO_0132357,abnormal development of olfactory placode,_:b187
http://purl.obolibrary.org/obo/XPO_0132461,abnormal development of dorsolateral placode region,_:b188
