s,lab,ldef
http://purl.obolibrary.org/obo/ZP_00000000,Zebrafish Phenotype,_:b0
http://purl.obolibrary.org/obo/ZP_0001669,"behavior quality, abnormal",_:b1
http://purl.obolibrary.org/obo/ZP_0012767,"swimming behavior increased behavioural activity, abnormal",_:b2
http://purl.obolibrary.org/obo/ZP_0012599,"behavior process quality, abnormal",_:b3
http://purl.obolibrary.org/obo/ZP_0105902,"circadian behavior process quality, abnormal",_:b4
http://purl.obolibrary.org/obo/ZP_0017497,"circadian sleep/wake cycle duration, abnormal",_:b5
http://purl.obolibrary.org/obo/ZP_0103316,"circadian sleep/wake cycle, wakefulness duration, abnormal",_:b6
http://purl.obolibrary.org/obo/ZP_0103315,"circadian sleep/wake cycle, wakefulness increased duration, abnormal",_:b7
http://purl.obolibrary.org/obo/ZP_0103317,"circadian sleep/wake cycle, wakefulness decreased duration, abnormal",_:b8
http://purl.obolibrary.org/obo/ZP_0017501,"circadian sleep/wake cycle, sleep process quality, abnormal",_:b9
http://purl.obolibrary.org/obo/ZP_0022427,"circadian sleep/wake cycle, sleep continuous, abnormal",_:b10
http://purl.obolibrary.org/obo/ZP_0017502,"circadian sleep/wake cycle, sleep duration, abnormal",_:b11
http://purl.obolibrary.org/obo/ZP_0008675,"circadian sleep/wake cycle, sleep decreased duration, abnormal",_:b12
http://purl.obolibrary.org/obo/ZP_0015351,"circadian sleep/wake cycle, sleep increased duration, abnormal",_:b13
http://purl.obolibrary.org/obo/ZP_0101300,"circadian sleep/wake cycle, sleep increased occurrence, abnormal",_:b14
http://purl.obolibrary.org/obo/ZP_0008676,"circadian sleep/wake cycle, sleep disrupted, abnormal",_:b15
http://purl.obolibrary.org/obo/ZP_0020304,"circadian behavior disrupted, abnormal",_:b16
http://purl.obolibrary.org/obo/ZP_0017500,"circadian sleep/wake cycle disrupted, abnormal",_:b17
http://purl.obolibrary.org/obo/ZP_0020826,"locomotor rhythm disrupted, abnormal",_:b18
http://purl.obolibrary.org/obo/ZP_0013607,"circadian sleep/wake cycle, wakefulness occurrence, abnormal",_:b19
http://purl.obolibrary.org/obo/ZP_0015177,"circadian sleep/wake cycle, wakefulness increased occurrence, abnormal",_:b20
http://purl.obolibrary.org/obo/ZP_0015350,"circadian sleep/wake cycle, wakefulness decreased occurrence, abnormal",_:b21
