s,lab,ldef
http://purl.obolibrary.org/obo/MP_0000001,mammalian phenotype,
http://purl.obolibrary.org/obo/MP_0001186,pigmentation phenotype,_:b0
http://purl.obolibrary.org/obo/MP_0002075,abnormal coat/hair pigmentation,_:b1
http://purl.obolibrary.org/obo/MP_0000372,irregular coat pigmentation,_:b2
http://purl.obolibrary.org/obo/MP_0005366,variegated coat color,_:b3
http://purl.obolibrary.org/obo/MP_0010389,mosaic coat color,
http://purl.obolibrary.org/obo/MP_0000421,mottled coat,_:b4
http://purl.obolibrary.org/obo/MP_0010231,transverse fur striping,
http://purl.obolibrary.org/obo/MP_0005171,absent coat pigmentation,_:b5
http://purl.obolibrary.org/obo/MP_0002938,white spotting,_:b6
http://purl.obolibrary.org/obo/MP_0000373,belly spot,_:b7
http://purl.obolibrary.org/obo/MP_0002939,head spot,_:b8
http://purl.obolibrary.org/obo/MP_0002940,variable body spotting,_:b9
http://purl.obolibrary.org/obo/MP_0012076,abnormal agouti pigmentation,
http://purl.obolibrary.org/obo/MP_0003136,yellow coat color,_:b10
http://purl.obolibrary.org/obo/MP_0005409,darkened coat color,_:b11
http://purl.obolibrary.org/obo/MP_0002671,belted,
http://purl.obolibrary.org/obo/MP_0009933,abnormal tail hair pigmentation,_:b12
http://purl.obolibrary.org/obo/MP_0004381,abnormal hair follicle melanocyte morphology,_:b13
http://purl.obolibrary.org/obo/MP_0012016,abnormal hair follicle eumelanosome eumelanin content,
http://purl.obolibrary.org/obo/MP_0005072,abnormal hair follicle melanin granule morphology,
http://purl.obolibrary.org/obo/MP_0005071,enlarged hair follicle melanin granules,
http://purl.obolibrary.org/obo/MP_0011830,ectopic hair follicle melanin granules,
http://purl.obolibrary.org/obo/MP_0009554,abnormal hair follicle melanin granule shape,
http://purl.obolibrary.org/obo/MP_0009555,abnormal hair follicle melanin granule distribution,
http://purl.obolibrary.org/obo/MP_0000394,absent hair follicle melanin granules,
http://purl.obolibrary.org/obo/MP_0006370,abnormal hair follicle pheomelanosome pheomelanin content,
http://purl.obolibrary.org/obo/MP_0006371,absent hair follicle pheomelanosome pheomelanin,
http://purl.obolibrary.org/obo/MP_0008812,abnormal rostrocaudal coat patterning,
http://purl.obolibrary.org/obo/MP_0008237,abnormal ventral coat pigmentation,
http://purl.obolibrary.org/obo/MP_0012017,grizzled coat color,
http://purl.obolibrary.org/obo/MP_0008238,abnormal dorsoventral coat patterning,
http://purl.obolibrary.org/obo/MP_0004382,abnormal hair follicle melanogenesis,_:b14
http://purl.obolibrary.org/obo/MP_0009928,abnormal pinna hair pigmentation,_:b15
http://purl.obolibrary.org/obo/MP_0011280,abnormal flank coat pigmentation,
http://purl.obolibrary.org/obo/MP_0020235,black belted,
http://purl.obolibrary.org/obo/MP_0009934,abnormal hind foot hair pigmentation,
http://purl.obolibrary.org/obo/MP_0000371,diluted coat color,_:b16
http://purl.obolibrary.org/obo/MP_0020440,abnormal front foot hair pigmentation,
http://purl.obolibrary.org/obo/MP_0008731,abnormal hair shaft melanin granule morphology,
http://purl.obolibrary.org/obo/MP_0009273,abnormal hair shaft melanin granule shape,
http://purl.obolibrary.org/obo/MP_0008732,reduced hair shaft melanin granule number,
http://purl.obolibrary.org/obo/MP_0008733,abnormal hair shaft melanin granule distribution,
http://purl.obolibrary.org/obo/MP_0004034,belly blaze,
http://purl.obolibrary.org/obo/MP_0000370,head blaze,
http://purl.obolibrary.org/obo/MP_0002095,abnormal skin pigmentation,_:b17
http://purl.obolibrary.org/obo/MP_0000015,abnormal ear pigmentation,_:b18
http://purl.obolibrary.org/obo/MP_0011278,increased ear pigmentation,_:b19
http://purl.obolibrary.org/obo/MP_0011279,decreased ear pigmentation,_:b20
http://purl.obolibrary.org/obo/MP_0030926,increased skin pigmentation,_:b21
http://purl.obolibrary.org/obo/MP_0030051,increased foot pigmentation,_:b22
http://purl.obolibrary.org/obo/MP_0000575,increased foot pad pigmentation,_:b23
http://purl.obolibrary.org/obo/MP_0030929,increased digit pigmentation,_:b24
http://purl.obolibrary.org/obo/MP_0030053,increased forehead pigmentation,_:b25
http://purl.obolibrary.org/obo/MP_0011276,increased tail pigmentation,_:b26
http://purl.obolibrary.org/obo/MP_0005174,abnormal tail pigmentation,_:b27
http://purl.obolibrary.org/obo/MP_0011277,decreased tail pigmentation,_:b28
http://purl.obolibrary.org/obo/MP_0005175,non-pigmented tail tip,_:b29
http://purl.obolibrary.org/obo/MP_0010232,delayed skin pigmentation appearance,
http://purl.obolibrary.org/obo/MP_0001189,absent skin pigmentation,_:b30
http://purl.obolibrary.org/obo/MP_0011627,decreased skin pigmentation,_:b31
http://purl.obolibrary.org/obo/MP_0030930,decreased digit pigmentation,_:b32
http://purl.obolibrary.org/obo/MP_0011568,decreased foot pigmentation,_:b33
http://purl.obolibrary.org/obo/MP_0020221,reduced foot pad pigmentation,_:b34
http://purl.obolibrary.org/obo/MP_0030054,decreased forehead pigmentation,_:b35
http://purl.obolibrary.org/obo/MP_0009379,abnormal foot pigmentation,_:b36
http://purl.obolibrary.org/obo/MP_0000569,abnormal digit pigmentation,_:b37
http://purl.obolibrary.org/obo/MP_0009387,abnormal epidermal pigmentation,_:b38
http://purl.obolibrary.org/obo/MP_0009388,abnormal epidermal melanocyte morphology,_:b39
http://purl.obolibrary.org/obo/MP_0010206,pigment incontinence,
http://purl.obolibrary.org/obo/MP_0030052,abnormal forehead pigmentation,_:b40
http://purl.obolibrary.org/obo/MP_0009847,abnormal scrotum pigmentation,_:b41
http://purl.obolibrary.org/obo/MP_0009385,abnormal dermal pigmentation,_:b42
http://purl.obolibrary.org/obo/MP_0009386,abnormal dermal melanocyte morphology,_:b43
http://purl.obolibrary.org/obo/MP_0010016,variable depigmentation,_:b44
http://purl.obolibrary.org/obo/MP_0010741,abnormal melanocyte proliferation,_:b45
http://purl.obolibrary.org/obo/MP_0005408,hypopigmentation,_:b46
http://purl.obolibrary.org/obo/MP_0005172,decreased eye pigmentation,_:b47
http://purl.obolibrary.org/obo/MP_0002877,abnormal melanocyte morphology,_:b48
http://purl.obolibrary.org/obo/MP_0005075,abnormal melanosome morphology,_:b49
http://purl.obolibrary.org/obo/MP_0030916,abnormal melanosome size,_:b50
http://purl.obolibrary.org/obo/MP_0030918,small melanosome,_:b51
http://purl.obolibrary.org/obo/MP_0030917,enlarged melanosome,_:b52
http://purl.obolibrary.org/obo/MP_0030913,abnormal melanosome formation,_:b53
http://purl.obolibrary.org/obo/MP_0010192,abnormal retinal melanin granule morphology,
http://purl.obolibrary.org/obo/MP_0010193,abnormal choroid melanin granule morphology,
http://purl.obolibrary.org/obo/MP_0013314,abnormal eumelanosome morphology,
http://purl.obolibrary.org/obo/MP_0012015,abnormal eumelanosome eumelanin content,
http://purl.obolibrary.org/obo/MP_0013315,abnormal pheomelanosome morphology,
http://purl.obolibrary.org/obo/MP_0013316,abnormal pheomelanosome pheomelanin content,
http://purl.obolibrary.org/obo/MP_0030915,abnormal melanosome maturation,
http://purl.obolibrary.org/obo/MP_0012021,abnormal melanocyte number,
http://purl.obolibrary.org/obo/MP_0012022,increased melanocyte number,
http://purl.obolibrary.org/obo/MP_0012023,decreased melanocyte number,
http://purl.obolibrary.org/obo/MP_0010037,ectopic melanocytes,_:b54
http://purl.obolibrary.org/obo/MP_0004367,abnormal strial intermediate cell morphology,_:b55
http://purl.obolibrary.org/obo/MP_0006010,absent strial intermediate cells,_:b56
http://purl.obolibrary.org/obo/MP_0010190,abnormal retinal melanocyte morphology,_:b57
http://purl.obolibrary.org/obo/MP_0010191,abnormal choroid melanocyte morphology,_:b58
http://purl.obolibrary.org/obo/MP_0030908,abnormal melanocyte differentiation,_:b59
http://purl.obolibrary.org/obo/MP_0005077,abnormal melanogenesis,_:b60
http://purl.obolibrary.org/obo/MP_0020305,abnormal horn pigmentation,_:b61
http://purl.obolibrary.org/obo/MP_0008842,lipofuscinosis,
http://purl.obolibrary.org/obo/MP_0030914,abnormal endosome to melanosome transport,
http://purl.obolibrary.org/obo/MP_0009389,abnormal extracutaneous pigmentation,
http://purl.obolibrary.org/obo/MP_0001324,abnormal eye pigmentation,_:b62
http://purl.obolibrary.org/obo/MP_0005100,abnormal choroid pigmentation,_:b63
http://purl.obolibrary.org/obo/MP_0005102,abnormal iris pigmentation,_:b64
http://purl.obolibrary.org/obo/MP_0005541,abnormal iris stromal pigmentation,_:b65
http://purl.obolibrary.org/obo/MP_0006160,heterochromatic iridis,_:b66
http://purl.obolibrary.org/obo/MP_0008480,absent eye pigmentation,_:b67
http://purl.obolibrary.org/obo/MP_0006159,ocular albinism,_:b68
http://purl.obolibrary.org/obo/MP_0005201,abnormal retinal pigment epithelium morphology,_:b69
http://purl.obolibrary.org/obo/MP_0005103,abnormal retinal pigmentation,_:b70
http://purl.obolibrary.org/obo/MP_0005548,retinal pigment epithelium atrophy,_:b71
http://purl.obolibrary.org/obo/MP_0005549,retinal pigment epithelium hyperplasia,_:b72
http://purl.obolibrary.org/obo/MP_0005101,abnormal ciliary body pigmentation,_:b73
http://purl.obolibrary.org/obo/MP_0005199,abnormal iris pigment epithelium,_:b74
http://purl.obolibrary.org/obo/MP_0011551,variegated eye pigmentation pattern,
http://purl.obolibrary.org/obo/MP_0003798,abnormal Harderian gland pigmentation,_:b75
http://purl.obolibrary.org/obo/MP_0009390,abnormal otic pigmentation,_:b76
http://purl.obolibrary.org/obo/MP_0009391,abnormal leptomeninges pigmentation,_:b77
http://purl.obolibrary.org/obo/MP_0008834,abnormal melanosome transport,_:b78
http://purl.obolibrary.org/obo/MP_0011494,abnormal pigmentation pattern,
http://purl.obolibrary.org/obo/MP_0001188,hyperpigmentation,_:b79
http://purl.obolibrary.org/obo/MP_0030931,increased nipple pigmentation,
http://purl.obolibrary.org/obo/MP_0005397,hematopoietic system phenotype,_:b80
http://purl.obolibrary.org/obo/MP_0005416,abnormal circulating protein level,_:b81
http://purl.obolibrary.org/obo/MP_0012324,abnormal circulating antithrombin level,
http://purl.obolibrary.org/obo/MP_0012325,decreased circulating antithrombin level,
http://purl.obolibrary.org/obo/MP_0012326,increased circulating antithrombin level,
http://purl.obolibrary.org/obo/MP_0010332,abnormal circulating apolipoprotein level,_:b82
http://purl.obolibrary.org/obo/MP_0010333,abnormal circulating apolipoprotein E level,_:b83
http://purl.obolibrary.org/obo/MP_0012327,abnormal circulating factor VIII level,
http://purl.obolibrary.org/obo/MP_0012328,decreased circulating factor VIII level,
http://purl.obolibrary.org/obo/MP_0012329,increased circulating factor VIII level,
http://purl.obolibrary.org/obo/MP_0012221,abnormal circulating prothrombin level,
http://purl.obolibrary.org/obo/MP_0012222,decreased circulating prothrombin level,
http://purl.obolibrary.org/obo/MP_0012223,increased circulating prothrombin level,
http://purl.obolibrary.org/obo/MP_0010210,abnormal circulating cytokine level,
http://purl.obolibrary.org/obo/MP_0008588,abnormal circulating interleukin level,
http://purl.obolibrary.org/obo/MP_0008598,abnormal circulating interleukin-2 level,_:b84
http://purl.obolibrary.org/obo/MP_0008599,increased circulating interleukin-2 level,_:b85
http://purl.obolibrary.org/obo/MP_0008600,decreased circulating interleukin-2 level,_:b86
http://purl.obolibrary.org/obo/MP_0008619,abnormal circulating interleukin-23 level,_:b87
http://purl.obolibrary.org/obo/MP_0008649,abnormal circulating interleukin-23a level,_:b88
http://purl.obolibrary.org/obo/MP_0008620,increased circulating interleukin-23 level,_:b89
http://purl.obolibrary.org/obo/MP_0008621,decreased circulating interleukin-23 level,_:b90
http://purl.obolibrary.org/obo/MP_0011713,abnormal circulating interleukin-8 level,_:b91
http://purl.obolibrary.org/obo/MP_0011714,increased circulating interleukin-8 level,_:b92
http://purl.obolibrary.org/obo/MP_0011715,decreased circulating interleukin-8 level,_:b93
http://purl.obolibrary.org/obo/MP_0008604,abnormal circulating interleukin-7 level,_:b94
http://purl.obolibrary.org/obo/MP_0008605,increased circulating interleukin-7 level,_:b95
http://purl.obolibrary.org/obo/MP_0008606,decreased circulating interleukin-7 level,_:b96
http://purl.obolibrary.org/obo/MP_0008631,abnormal circulating interleukin-16 level,_:b97
http://purl.obolibrary.org/obo/MP_0008632,increased circulating interleukin-16 level,_:b98
http://purl.obolibrary.org/obo/MP_0008633,decreased circulating interleukin-16 level,_:b99
http://purl.obolibrary.org/obo/MP_0008634,abnormal circulating interleukin-18 level,_:b100
http://purl.obolibrary.org/obo/MP_0008636,decreased circulating interleukin-18 level,_:b101
http://purl.obolibrary.org/obo/MP_0008635,increased circulating interleukin-18 level,_:b102
http://purl.obolibrary.org/obo/MP_0009059,abnormal circulating interleukin-21 level,_:b103
http://purl.obolibrary.org/obo/MP_0009061,decreased circulating interleukin-21 level,_:b104
http://purl.obolibrary.org/obo/MP_0009060,increased circulating interleukin-21 level,_:b105
http://purl.obolibrary.org/obo/MP_0008601,abnormal circulating interleukin-4 level,_:b106
http://purl.obolibrary.org/obo/MP_0008603,decreased circulating interleukin-4 level,_:b107
http://purl.obolibrary.org/obo/MP_0008602,increased circulating interleukin-4 level,_:b108
http://purl.obolibrary.org/obo/MP_0008607,abnormal circulating interleukin-13 level,_:b109
http://purl.obolibrary.org/obo/MP_0008608,increased circulating interleukin-13 level,_:b110
http://purl.obolibrary.org/obo/MP_0008609,decreased circulating interleukin-13 level,_:b111
http://purl.obolibrary.org/obo/MP_0008590,abnormal circulating interleukin-10 level,_:b112
http://purl.obolibrary.org/obo/MP_0008593,increased circulating interleukin-10 level,_:b113
http://purl.obolibrary.org/obo/MP_0008594,decreased circulating interleukin-10 level,_:b114
http://purl.obolibrary.org/obo/MP_0008610,abnormal circulating interleukin-15 level,_:b115
http://purl.obolibrary.org/obo/MP_0008612,decreased circulating interleukin-15 level,_:b116
http://purl.obolibrary.org/obo/MP_0008611,increased circulating interleukin-15 level,_:b117
http://purl.obolibrary.org/obo/MP_0008613,abnormal circulating interleukin-17 level,_:b118
http://purl.obolibrary.org/obo/MP_0008614,increased circulating interleukin-17 level,_:b119
http://purl.obolibrary.org/obo/MP_0008615,decreased circulating interleukin-17 level,_:b120
http://purl.obolibrary.org/obo/MP_0008616,abnormal circulating interleukin-12 level,_:b121
http://purl.obolibrary.org/obo/MP_0008617,increased circulating interleukin-12 level,_:b122
http://purl.obolibrary.org/obo/MP_0008618,decreased circulating interleukin-12 level,_:b123
http://purl.obolibrary.org/obo/MP_0008643,abnormal circulating interleukin-12a level,_:b124
http://purl.obolibrary.org/obo/MP_0008645,decreased circulating interleukin-12a level,_:b125
http://purl.obolibrary.org/obo/MP_0008644,increased circulating interleukin-12a level,_:b126
http://purl.obolibrary.org/obo/MP_0008625,abnormal circulating interleukin-5 level,_:b127
http://purl.obolibrary.org/obo/MP_0008626,increased circulating interleukin-5 level,_:b128
http://purl.obolibrary.org/obo/MP_0008627,decreased circulating interleukin-5 level,_:b129
http://purl.obolibrary.org/obo/MP_0008628,abnormal circulating interleukin-9 level,_:b130
http://purl.obolibrary.org/obo/MP_0008629,increased circulating interleukin-9 level,_:b131
http://purl.obolibrary.org/obo/MP_0008630,decreased circulating interleukin-9 level,_:b132
http://purl.obolibrary.org/obo/MP_0008622,abnormal circulating interleukin-3 level,_:b133
http://purl.obolibrary.org/obo/MP_0008623,increased circulating interleukin-3 level,_:b134
http://purl.obolibrary.org/obo/MP_0008624,decreased circulating interleukin-3 level,_:b135
http://purl.obolibrary.org/obo/MP_0008589,abnormal circulating interleukin-1 level,_:b136
http://purl.obolibrary.org/obo/MP_0008591,increased circulating interleukin-1 level,_:b137
http://purl.obolibrary.org/obo/MP_0008592,decreased circulating interleukin-1 level,_:b138
http://purl.obolibrary.org/obo/MP_0008637,abnormal circulating interleukin-1 alpha level,_:b139
http://purl.obolibrary.org/obo/MP_0008639,decreased circulating interleukin-1 alpha level,_:b140
http://purl.obolibrary.org/obo/MP_0008638,increased circulating interleukin-1 alpha level,_:b141
http://purl.obolibrary.org/obo/MP_0008640,abnormal circulating interleukin-1 beta level,_:b142
http://purl.obolibrary.org/obo/MP_0008641,increased circulating interleukin-1 beta level,_:b143
http://purl.obolibrary.org/obo/MP_0008642,decreased circulating interleukin-1 beta level,_:b144
http://purl.obolibrary.org/obo/MP_0008646,abnormal circulating interleukin-12b level,_:b145
http://purl.obolibrary.org/obo/MP_0008648,decreased circulating interleukin-12b level,_:b146
http://purl.obolibrary.org/obo/MP_0008647,increased circulating interleukin-12b level,_:b147
http://purl.obolibrary.org/obo/MP_0008595,abnormal circulating interleukin-6 level,_:b148
http://purl.obolibrary.org/obo/MP_0008596,increased circulating interleukin-6 level,_:b149
http://purl.obolibrary.org/obo/MP_0008597,decreased circulating interleukin-6 level,_:b150
http://purl.obolibrary.org/obo/MP_0008548,abnormal circulating interferon level,
http://purl.obolibrary.org/obo/MP_0008549,abnormal circulating interferon-alpha level,
http://purl.obolibrary.org/obo/MP_0008574,decreased circulating interferon-alpha level,
http://purl.obolibrary.org/obo/MP_0008573,increased circulating interferon-alpha level,
http://purl.obolibrary.org/obo/MP_0008550,abnormal circulating interferon-beta level,_:b151
http://purl.obolibrary.org/obo/MP_0008575,increased circulating interferon-beta level,_:b152
http://purl.obolibrary.org/obo/MP_0008576,decreased circulating interferon-beta level,_:b153
http://purl.obolibrary.org/obo/MP_0008551,abnormal circulating interferon-gamma level,_:b154
http://purl.obolibrary.org/obo/MP_0008578,decreased circulating interferon-gamma level,_:b155
http://purl.obolibrary.org/obo/MP_0008577,increased circulating interferon-gamma level,_:b156
http://purl.obolibrary.org/obo/MP_0008552,abnormal circulating tumor necrosis factor level,_:b157
http://purl.obolibrary.org/obo/MP_0008553,increased circulating tumor necrosis factor level,_:b158
http://purl.obolibrary.org/obo/MP_0008554,decreased circulating tumor necrosis factor level,_:b159
http://purl.obolibrary.org/obo/MP_0010209,abnormal circulating chemokine level,
http://purl.obolibrary.org/obo/MP_0001570,abnormal circulating enzyme level,
http://purl.obolibrary.org/obo/MP_0011970,abnormal circulating lactate dehydrogenase level,
http://purl.obolibrary.org/obo/MP_0011971,increased circulating lactate dehydrogenase level,
http://purl.obolibrary.org/obo/MP_0011972,decreased circulating lactate dehydrogenase level,
http://purl.obolibrary.org/obo/MP_0020256,abnormal circulating factor XII level,
http://purl.obolibrary.org/obo/MP_0020255,absent circulating factor XII protein,
http://purl.obolibrary.org/obo/MP_0020257,increased circulating factor XII level,
http://purl.obolibrary.org/obo/MP_0020258,decreased circulating factor XII level,
http://purl.obolibrary.org/obo/MP_0000203,abnormal circulating aspartate transaminase level,_:b160
http://purl.obolibrary.org/obo/MP_0005632,decreased circulating aspartate transaminase level,_:b161
http://purl.obolibrary.org/obo/MP_0005343,increased circulating aspartate transaminase level,_:b162
http://purl.obolibrary.org/obo/MP_0001573,abnormal circulating alanine transaminase level,_:b163
http://purl.obolibrary.org/obo/MP_0002941,increased circulating alanine transaminase level,_:b164
http://purl.obolibrary.org/obo/MP_0002942,decreased circulating alanine transaminase level,_:b165
http://purl.obolibrary.org/obo/MP_0008804,abnormal circulating amylase level,
http://purl.obolibrary.org/obo/MP_0008805,decreased circulating amylase level,
http://purl.obolibrary.org/obo/MP_0008806,increased circulating amylase level,
http://purl.obolibrary.org/obo/MP_0010089,abnormal circulating creatine kinase level,_:b166
http://purl.obolibrary.org/obo/MP_0010091,decreased circulating creatine kinase level,_:b167
http://purl.obolibrary.org/obo/MP_0010090,increased circulating creatine kinase level,_:b168
http://purl.obolibrary.org/obo/MP_0011008,abnormal circulating glutamate dehydrogenase level,_:b169
http://purl.obolibrary.org/obo/MP_0011009,increased circulating glutamate dehydrogenase level,_:b170
http://purl.obolibrary.org/obo/MP_0011010,decreased circulating glutamate dehydrogenase level,_:b171
http://purl.obolibrary.org/obo/MP_0003349,abnormal circulating renin level,_:b172
http://purl.obolibrary.org/obo/MP_0003352,increased circulating renin level,_:b173
http://purl.obolibrary.org/obo/MP_0003353,decreased circulating renin level,_:b174
http://purl.obolibrary.org/obo/MP_0011885,abnormal circulating lipase level,
http://purl.obolibrary.org/obo/MP_0011886,increased circulating lipase level,
http://purl.obolibrary.org/obo/MP_0011887,decreased circulating lipase level,
http://purl.obolibrary.org/obo/MP_0020246,abnormal circulating arginase level,
http://purl.obolibrary.org/obo/MP_0020248,decreased circulating arginase level,
http://purl.obolibrary.org/obo/MP_0020247,increased circulating arginase level,
http://purl.obolibrary.org/obo/MP_0010106,abnormal circulating pyruvate kinase level,
http://purl.obolibrary.org/obo/MP_0012614,abnormal circulating factor IX level,
http://purl.obolibrary.org/obo/MP_0012615,decreased circulating factor IX level,
http://purl.obolibrary.org/obo/MP_0012616,increased circulating factor IX level,
http://purl.obolibrary.org/obo/MP_0012617,abnormal circulating factor X level,
http://purl.obolibrary.org/obo/MP_0012618,decreased circulating factor X level,
http://purl.obolibrary.org/obo/MP_0012619,increased circulating factor X level,
http://purl.obolibrary.org/obo/MP_0000202,abnormal circulating alkaline phosphatase level,_:b175
http://purl.obolibrary.org/obo/MP_0002968,increased circulating alkaline phosphatase level,_:b176
http://purl.obolibrary.org/obo/MP_0002966,decreased circulating alkaline phosphatase level,_:b177
http://purl.obolibrary.org/obo/MP_0012620,abnormal circulating factor XIII level,
http://purl.obolibrary.org/obo/MP_0012621,decreased circulating factor XIII level,
http://purl.obolibrary.org/obo/MP_0012622,increased circulating factor XIII level,
http://purl.obolibrary.org/obo/MP_0012661,decreased circulating ceruloplasmin level,
http://purl.obolibrary.org/obo/MP_0006351,abnormal glycosylated hemoglobin level,
http://purl.obolibrary.org/obo/MP_0006352,decreased glycosylated hemoglobin level,
http://purl.obolibrary.org/obo/MP_0006353,increased glycosylated hemoglobin level,
http://purl.obolibrary.org/obo/MP_0010215,abnormal circulating complement protein level,
http://purl.obolibrary.org/obo/MP_0020216,decreased circulating complement protein level,
http://purl.obolibrary.org/obo/MP_0020217,increased circulating complement protein level,
http://purl.obolibrary.org/obo/MP_0000199,abnormal circulating serum albumin level,_:b178
http://purl.obolibrary.org/obo/MP_0005419,decreased circulating serum albumin level,_:b179
http://purl.obolibrary.org/obo/MP_0002965,increased circulating serum albumin level,
http://purl.obolibrary.org/obo/MP_0010213,abnormal circulating fibrinogen level,_:b180
http://purl.obolibrary.org/obo/MP_0012330,decreased circulating fibrinogen level,
http://purl.obolibrary.org/obo/MP_0012331,increased circulating fibrinogen level,
http://purl.obolibrary.org/obo/MP_0011912,abnormal circulating fibronectin level,
http://purl.obolibrary.org/obo/MP_0012333,increased circulating fibronectin level,
http://purl.obolibrary.org/obo/MP_0012332,decreased circulating fibronectin level,
http://purl.obolibrary.org/obo/MP_0000332,hemoglobinemia,_:b181
