s,lab,ldef
http://purl.obolibrary.org/obo/WBPhenotype_0000886,nematode phenotype,
http://purl.obolibrary.org/obo/WBPhenotype_0000519,physiology phenotype,_:b0
http://purl.obolibrary.org/obo/WBPhenotype_0000536,cell physiology phenotype,_:b1
http://purl.obolibrary.org/obo/WBPhenotype_0000585,cell homeostasis metabolism variant,
http://purl.obolibrary.org/obo/WBPhenotype_0000142,cell stress response variant,_:b2
http://purl.obolibrary.org/obo/WBPhenotype_0001719,unfolded protein response variant,_:b3
http://purl.obolibrary.org/obo/WBPhenotype_0001840,response to injury variant,_:b4
http://purl.obolibrary.org/obo/WBPhenotype_0000739,DNA damage response variant,
http://purl.obolibrary.org/obo/WBPhenotype_0001256,DNA damage induced focus formation variant,
http://purl.obolibrary.org/obo/WBPhenotype_0001377,break induced focus formation variant,
http://purl.obolibrary.org/obo/WBPhenotype_0001257,cross link induced focus formation variant,
http://purl.obolibrary.org/obo/WBPhenotype_0001788,resistant to mutagens,_:b5
http://purl.obolibrary.org/obo/WBPhenotype_0002435,less susceptibility to induced DNA damage,
http://purl.obolibrary.org/obo/WBPhenotype_0002436,high susceptibility to induced DNA damage,
http://purl.obolibrary.org/obo/WBPhenotype_0000144,pathogen induced cell death increased,
http://purl.obolibrary.org/obo/WBPhenotype_0000741,DNA damage checkpoint variant,_:b6
http://purl.obolibrary.org/obo/WBPhenotype_0000873,G1 checkpoint variant,_:b7
http://purl.obolibrary.org/obo/WBPhenotype_0000874,G2 checkpoint variant,_:b8
http://purl.obolibrary.org/obo/WBPhenotype_0000875,S phase checkpoint variant,_:b9
http://purl.obolibrary.org/obo/WBPhenotype_0000100,cell UV response variant,_:b10
http://purl.obolibrary.org/obo/WBPhenotype_0001756,UV induced apoptosis decreased,
http://purl.obolibrary.org/obo/WBPhenotype_0001755,UV induced mitotic germ cell arrest defective,
http://purl.obolibrary.org/obo/WBPhenotype_0000101,UV induced apoptosis increased,
http://purl.obolibrary.org/obo/WBPhenotype_0001390,cell UV hypersensitive,_:b11
http://purl.obolibrary.org/obo/WBPhenotype_0001324,cell ionizing radiation response variant,_:b12
http://purl.obolibrary.org/obo/WBPhenotype_0001326,cell gamma ray response variant,_:b13
http://purl.obolibrary.org/obo/WBPhenotype_0001896,gamma ray induced apoptosis decreased,
http://purl.obolibrary.org/obo/WBPhenotype_0001389,cell gamma ray resistant,_:b14
http://purl.obolibrary.org/obo/WBPhenotype_0001391,gamma ray induced apoptosis increased,
http://purl.obolibrary.org/obo/WBPhenotype_0001327,cell gamma ray hypersensitive,_:b15
http://purl.obolibrary.org/obo/WBPhenotype_0000712,germ cell ionizing radiation response variant,_:b16
http://purl.obolibrary.org/obo/WBPhenotype_0000731,germ cell hypersensitive ionizing radiation,
http://purl.obolibrary.org/obo/WBPhenotype_0000737,germ cell resistant ionizing radiation,
http://purl.obolibrary.org/obo/WBPhenotype_0001850,radiation induced germ cell apoptosis variant,
