candidate,o,o_path,sub,sub_bearer,sub_bearer_label,sub_classification,sub_label,super,super_bearer,super_bearer_label,super_classification,super_label
TRUE,obo20190313_merged_hp.owl,/data/tmp_pato/ontologies/obo20190313_merged_hp.owl,http://purl.obolibrary.org/obo/HP_0031605,http://purl.obolibrary.org/obo/GO_0043473,'pigmentation',Occurent,'Abnormality of fundus pigmentation',http://purl.obolibrary.org/obo/HP_0001098,http://purl.obolibrary.org/obo/UBERON_0003951,'ocular fundus',Continuant,'Abnormal fundus morphology'
TRUE,obo20190313_merged_hp.owl,/data/tmp_pato/ontologies/obo20190313_merged_hp.owl,http://purl.obolibrary.org/obo/HP_0008835,http://purl.obolibrary.org/obo/UBERON_0010355,'ossification center',Continuant,'Multicentric femoral head ossification',http://purl.obolibrary.org/obo/HP_0009107,http://purl.obolibrary.org/obo/GO_0001503,'ossification',Occurent,'Abnormal ossification involving the femoral head and neck'
TRUE,obo20190313_merged_hp.owl,/data/tmp_pato/ontologies/obo20190313_merged_hp.owl,http://purl.obolibrary.org/obo/HP_0002190,http://purl.obolibrary.org/obo/MPATH_62,'cyst',Other,'Choroid plexus cyst',http://purl.obolibrary.org/obo/HP_0007376,http://purl.obolibrary.org/obo/UBERON_0001886,'choroid plexus',Continuant,'Abnormality of the choroid plexus'
TRUE,obo20190313_merged_hp.owl,/data/tmp_pato/ontologies/obo20190313_merged_hp.owl,http://purl.obolibrary.org/obo/HP_0001369,http://purl.obolibrary.org/obo/MPATH_195,'arthritis',Other,'Arthritis',http://purl.obolibrary.org/obo/HP_0001367,http://purl.obolibrary.org/obo/UBERON_0000982,'skeletal joint',Continuant,'Abnormal joint morphology'
TRUE,obo20190313_merged_hp.owl,/data/tmp_pato/ontologies/obo20190313_merged_hp.owl,http://purl.obolibrary.org/obo/HP_0010933,http://purl.obolibrary.org/obo/GO_0046110,'xanthine metabolic process',Occurent,'Hyperxanthinemia',http://purl.obolibrary.org/obo/HP_0004368,http://purl.obolibrary.org/obo/CHEBI_26401,'purines',Continuant,'Increased purine level'
TRUE,obo20190313_merged_hp.owl,/data/tmp_pato/ontologies/obo20190313_merged_hp.owl,http://purl.obolibrary.org/obo/HP_0012030,http://purl.obolibrary.org/obo/CHEBI_17650,'LIPID MAPS',Continuant,'Increased urinary cortisol level',http://purl.obolibrary.org/obo/HP_0012029,http://purl.obolibrary.org/obo/CHEBI_24621,'hormone',Other,'Abnormality of urine hormone level'
TRUE,obo20190313_merged_hp.owl,/data/tmp_pato/ontologies/obo20190313_merged_hp.owl,http://purl.obolibrary.org/obo/HP_0005776,http://purl.obolibrary.org/obo/GO_0035282,'segmentation',Occurent,'Carpal bone malsegmentation',http://purl.obolibrary.org/obo/HP_0001191,http://purl.obolibrary.org/obo/UBERON_0001435,'carpal bone',Continuant,'Abnormality of the carpal bones'
TRUE,obo20190313_merged_hp.owl,/data/tmp_pato/ontologies/obo20190313_merged_hp.owl,http://purl.obolibrary.org/obo/HP_0012026,http://purl.obolibrary.org/obo/CHEBI_18257,'Reaxys',Continuant,'Hyperornithinemia',http://purl.obolibrary.org/obo/HP_0012025,http://purl.obolibrary.org/obo/GO_0006591,'ornithine metabolic process',Occurent,'Abnormal circulating ornithine concentration'
TRUE,obo20190313_merged_hp.owl,/data/tmp_pato/ontologies/obo20190313_merged_hp.owl,http://purl.obolibrary.org/obo/HP_0006799,http://purl.obolibrary.org/obo/UBERON_0002420,'basal ganglion',Continuant,'Basal ganglia cysts',http://purl.obolibrary.org/obo/HP_0010576,http://purl.obolibrary.org/obo/MPATH_62,'cyst',Other,'Intracranial cystic lesion'
TRUE,obo20190313_merged_hp.owl,/data/tmp_pato/ontologies/obo20190313_merged_hp.owl,http://purl.obolibrary.org/obo/HP_0030173,http://purl.obolibrary.org/obo/UBERON_0000345,'myelin',Continuant,'Peripheral hypermyelination',http://purl.obolibrary.org/obo/HP_0003130,http://purl.obolibrary.org/obo/GO_0022011,'myelination in peripheral nervous system',Occurent,'Abnormal peripheral myelination'
TRUE,obo20190313_merged_hp.owl,/data/tmp_pato/ontologies/obo20190313_merged_hp.owl,http://purl.obolibrary.org/obo/HP_0000799,http://purl.obolibrary.org/obo/MPATH_622,'steatosis',Other,'Renal steatosis',http://purl.obolibrary.org/obo/HP_0012210,http://purl.obolibrary.org/obo/UBERON_0002113,'kidney',Continuant,'Abnormal renal morphology'
TRUE,obo20190313_merged_hp.owl,/data/tmp_pato/ontologies/obo20190313_merged_hp.owl,http://purl.obolibrary.org/obo/HP_0002024,http://purl.obolibrary.org/obo/GO_0050892,'intestinal absorption',Occurent,'Malabsorption',http://purl.obolibrary.org/obo/HP_0002242,http://purl.obolibrary.org/obo/UBERON_0000160,'intestine',Continuant,'Abnormal intestine morphology'
TRUE,obo20190313_merged_hp.owl,/data/tmp_pato/ontologies/obo20190313_merged_hp.owl,http://purl.obolibrary.org/obo/HP_0002723,http://purl.obolibrary.org/obo/GO_0045728,'respiratory burst after phagocytosis',Occurent,'Absence of bactericidal oxidative respiratory burst in phagocytes',http://purl.obolibrary.org/obo/HP_0010977,http://purl.obolibrary.org/obo/CL_0000518,'phagocyte (sensu Vertebrata)',Continuant,'Abnormality of phagocytes'
TRUE,obo20190313_merged_hp.owl,/data/tmp_pato/ontologies/obo20190313_merged_hp.owl,http://purl.obolibrary.org/obo/HP_0002721,http://purl.obolibrary.org/obo/GO_0006955,'immune response',Occurent,'Immunodeficiency',http://purl.obolibrary.org/obo/HP_0010978,http://purl.obolibrary.org/obo/UBERON_0002405,'immune system',Continuant,'Abnormality of immune system physiology'
