candidate,o,o_path,sub,sub_bearer,sub_bearer_label,sub_classification,sub_label,super,super_bearer,super_bearer_label,super_classification,super_label
TRUE,obo20190313_merged_mp.owl,/data/tmp_pato/ontologies/obo20190313_merged_mp.owl,http://purl.obolibrary.org/obo/MP_0012245,http://purl.obolibrary.org/obo/GO_0016477,'cell migration',Occurent,'abnormal hepatoblast migration',http://purl.obolibrary.org/obo/MP_0012241,http://purl.obolibrary.org/obo/CL_0005026,'hepatoblast',Continuant,'abnormal hepatoblast physiology'
TRUE,obo20190313_merged_mp.owl,/data/tmp_pato/ontologies/obo20190313_merged_mp.owl,http://purl.obolibrary.org/obo/MP_0010191,http://purl.obolibrary.org/obo/UBERON_0001776,'optic choroid',Continuant,'abnormal choroid melanocyte morphology',http://purl.obolibrary.org/obo/MP_0005100,http://purl.obolibrary.org/obo/GO_0043473,'pigmentation',Occurent,'abnormal choroid pigmentation'
TRUE,obo20190313_merged_mp.owl,/data/tmp_pato/ontologies/obo20190313_merged_mp.owl,http://purl.obolibrary.org/obo/MP_0010534,http://purl.obolibrary.org/obo/MPATH_36,'calcium deposition',Other,'calcified myocardium',http://purl.obolibrary.org/obo/MP_0005329,http://purl.obolibrary.org/obo/UBERON_0002349,'myocardium',Continuant,'abnormal myocardium layer morphology'
TRUE,obo20190313_merged_mp.owl,/data/tmp_pato/ontologies/obo20190313_merged_mp.owl,http://purl.obolibrary.org/obo/MP_0010535,http://purl.obolibrary.org/obo/MPATH_622,'steatosis',Other,'myocardial steatosis',http://purl.obolibrary.org/obo/MP_0005329,http://purl.obolibrary.org/obo/UBERON_0002349,'myocardium',Continuant,'abnormal myocardium layer morphology'
TRUE,obo20190313_merged_mp.owl,/data/tmp_pato/ontologies/obo20190313_merged_mp.owl,http://purl.obolibrary.org/obo/MP_0003582,http://purl.obolibrary.org/obo/GO_0008585,'female gonad development',Occurent,'abnormal ovary development',http://purl.obolibrary.org/obo/MP_0001126,http://purl.obolibrary.org/obo/UBERON_0000992,'ovary',Continuant,'abnormal ovary morphology'
TRUE,obo20190313_merged_mp.owl,/data/tmp_pato/ontologies/obo20190313_merged_mp.owl,http://purl.obolibrary.org/obo/MP_0003779,http://purl.obolibrary.org/obo/MPATH_62,'cyst',Other,'lip cysts',http://purl.obolibrary.org/obo/MP_0003769,http://purl.obolibrary.org/obo/UBERON_0001833,'lip',Continuant,'abnormal lip morphology'
TRUE,obo20190313_merged_mp.owl,/data/tmp_pato/ontologies/obo20190313_merged_mp.owl,http://purl.obolibrary.org/obo/MP_0003778,http://purl.obolibrary.org/obo/MPATH_476,'telangiectasia',Other,'lip telangiectases',http://purl.obolibrary.org/obo/MP_0003769,http://purl.obolibrary.org/obo/UBERON_0001833,'lip',Continuant,'abnormal lip morphology'
TRUE,obo20190313_merged_mp.owl,/data/tmp_pato/ontologies/obo20190313_merged_mp.owl,http://purl.obolibrary.org/obo/MP_0003770,http://purl.obolibrary.org/obo/MPATH_579,'ulcer',Other,'lip ulcer',http://purl.obolibrary.org/obo/MP_0003769,http://purl.obolibrary.org/obo/UBERON_0001833,'lip',Continuant,'abnormal lip morphology'
TRUE,obo20190313_merged_mp.owl,/data/tmp_pato/ontologies/obo20190313_merged_mp.owl,http://purl.obolibrary.org/obo/MP_0013331,http://purl.obolibrary.org/obo/GO_0032808,'lacrimal gland development',Occurent,'abnormal lacrimal gland development',http://purl.obolibrary.org/obo/MP_0001346,http://purl.obolibrary.org/obo/UBERON_0001817,'lacrimal gland',Continuant,'abnormal lacrimal gland morphology'
TRUE,obo20190313_merged_mp.owl,/data/tmp_pato/ontologies/obo20190313_merged_mp.owl,http://purl.obolibrary.org/obo/MP_0011391,http://purl.obolibrary.org/obo/GO_0006915,'apoptotic process',Occurent,'abnormal fetal cardiomyocyte apoptosis',http://purl.obolibrary.org/obo/MP_0011390,http://purl.obolibrary.org/obo/CL_0002495,'fetal cardiomyocyte',Continuant,'abnormal fetal cardiomyocyte physiology'
