sub_label,sub_bearer_label,sub_classification,super_label,super_bearer_label,super_classification
'abnormal hepatoblast migration','cell migration',Occurent,'abnormal hepatoblast physiology','hepatoblast',Continuant
'abnormal choroid melanocyte morphology','optic choroid',Continuant,'abnormal choroid pigmentation','pigmentation',Occurent
'calcified myocardium','calcium deposition',Other,'abnormal myocardium layer morphology','myocardium',Continuant
'myocardial steatosis','steatosis',Other,'abnormal myocardium layer morphology','myocardium',Continuant
'abnormal ovary development','female gonad development',Occurent,'abnormal ovary morphology','ovary',Continuant
'lip cysts','cyst',Other,'abnormal lip morphology','lip',Continuant
'lip telangiectases','telangiectasia',Other,'abnormal lip morphology','lip',Continuant
'lip ulcer','ulcer',Other,'abnormal lip morphology','lip',Continuant
'abnormal lacrimal gland development','lacrimal gland development',Occurent,'abnormal lacrimal gland morphology','lacrimal gland',Continuant
'abnormal fetal cardiomyocyte apoptosis','apoptotic process',Occurent,'abnormal fetal cardiomyocyte physiology','fetal cardiomyocyte',Continuant
'abnormal vascular resistance','blood vessel',Continuant,'abnormal blood circulation','blood circulation',Occurent
'eye inflammation','inflammatory response',Occurent,'abnormal eye physiology','camera-type eye',Continuant
'abnormal dendritic cell differentiation','dendritic cell differentiation',Occurent,'abnormal dendritic cell morphology','dendritic cell',Continuant
'abnormal class switch recombination','isotype switching',Occurent,'abnormal B cell physiology','B cell',Continuant
'abnormal uterus development','uterus development',Occurent,'abnormal uterus morphology','uterus',Continuant
'crypts of Lieberkuhn abscesses','ulcer',Other,'abnormal crypts of Lieberkuhn morphology','crypt of Lieberkuhn',Continuant
'abnormal circulating ketone body level','ketone body',Continuant,'abnormal blood homeostasis','homeostatic process',Occurent
'abnormal respiratory epithelial transmembrane transport','transmembrane transport',Occurent,'abnormal respiratory epithelium physiology','respiratory tract epithelium',Continuant
'abnormal chondrocyte proliferation','chondrocyte proliferation',Occurent,'abnormal chondrocyte physiology','chondrocyte',Continuant
'abnormal fibroblast apoptosis','apoptotic process',Occurent,'abnormal fibroblast physiology','fibroblast',Continuant
'abnormal professional antigen presenting cell physiology','professional antigen presenting cell',Continuant,'abnormal adaptive immunity','adaptive immune response',Occurent
'abnormal leukocyte physiology','leukocyte',Continuant,'abnormal cell-mediated immunity','leukocyte mediated immunity',Occurent
'abnormal professional antigen presenting cell physiology','professional antigen presenting cell',Continuant,'abnormal cell-mediated immunity','leukocyte mediated immunity',Occurent
'abnormal muscle contractility','muscle contraction',Occurent,'abnormal muscle physiology','muscle organ',Continuant
'straub tail','post-anal tail',Continuant,'abnormal tail movements','tail movement',Other
'heart inflammation','inflammatory response',Occurent,'abnormal cardiovascular system physiology','cardiovascular system',Continuant
'abnormal leukocyte physiology','leukocyte',Continuant,'abnormal adaptive immunity','adaptive immune response',Occurent
'abnormal chondrocyte apoptosis','apoptotic process',Occurent,'abnormal chondrocyte physiology','chondrocyte',Continuant
'abnormal long bone epiphyseal plate proliferative zone','long bone epiphyseal plate proliferative zone',Continuant,'abnormal cartilage development','cartilage development',Occurent
'abnormal infundibular recess of third ventricle morphology','infundibular recess of 3rd ventricle',Continuant,'abnormal neurohypophysis development','neurohypophysis development',Occurent
'dermatitis','dermatitis',Other,'skin inflammation','inflammatory response',Occurent
'abnormal intestinal epithelial transmembrane transport','transmembrane transport',Occurent,'abnormal intestinal epithelium physiology','intestinal epithelium',Continuant
'sirenomelia','hindlimb',Continuant,'abnormal limb development','limb development',Occurent
