sub_label,sub_bearer_label,sub_classification,super_label,super_bearer_label,super_classification
'aldicarb resistant','organism',Other,'acetylcholinesterase inhibitor resistant','response to drug',Occurent
'fertilization defective','fertilization',Occurent,'reproductive system physiology variant','reproductive system',Other
'vesicle trafficking variant','vesicle-mediated transport',Occurent,'cell physiology variant','cell',Continuant
'sperm excess','sperm',Continuant,'spermatogenesis variant','spermatogenesis',Occurent
'organ senescence variant','animal organ senescence',Occurent,'organ system morphology variant','Organ system',Other
'endoplasmic reticulum morphology variant','endoplasmic reticulum',Continuant,'cell component morphology variant','cellular_component',Other
'precocious alae','cuticular ala',Other,'precocious heterochronic variations',"'regulation of development, heterochronic'",Occurent
'cell junction variant','cell junction',Other,'cell membrane morphology variant','plasma membrane',Continuant
'no back end','tail',Other,'L1 arrest','larval development',Occurent
'larval body morphology variant','organism',Other,'developmental morphology variant','developmental process',Occurent
'head morphology variant','head',Other,'developmental morphology variant','developmental process',Occurent
'tail morphology variant','tail',Other,'developmental morphology variant','developmental process',Occurent
'cilia morphology variant','cilium',Continuant,'cell component morphology variant','cellular_component',Other
'synapse morphology variant','synapse',Continuant,'cell component morphology variant','cellular_component',Other
'vulval muscle unresponsive to serotonin','vulval muscle',Other,'egg laying serotonin resistant','oviposition',Occurent
'nuclear positioning variant','nuclear migration',Occurent,'cell physiology variant','cell',Continuant
'nuclear division variant','nuclear division',Occurent,'cell physiology variant','cell',Continuant
'cytoplasmic appearance defective early emb','cytoplasm',Continuant,'early embryonic lethal','organism',Other
'meiosis variant','meiotic cell cycle',Occurent,'early embryonic lethal','organism',Other
'endosome morphology variant','endosome',Continuant,'vesicle morphology variant','vesicle',Other
'germ cell hypersensitive ionizing radiation','germ cell',Continuant,'cell ionizing radiation response variant','cellular response to ionizing radiation',Occurent
'germ cell resistant ionizing radiation','germ cell',Continuant,'cell ionizing radiation response variant','cellular response to ionizing radiation',Occurent
'neuron physiology variant','neuron',Other,'blast cell physiology variant','cell',Continuant
'muscle cell physiology variant','muscle cell',Other,'blast cell physiology variant','cell',Continuant
'marginal cell physiology variant','marginal cell',Other,'blast cell physiology variant','cell',Continuant
'neurite morphology variant','neuron projection',Continuant,'neuron morphology variant','neuron',Other
'vesicle organization variant','vesicle organization',Occurent,'cell component morphology variant','cellular_component',Other
'cell secretion variant','secretion by cell',Occurent,'cell physiology variant','cell',Continuant
