p1,p2,label_x,label_y,cat
http://purl.obolibrary.org/obo/MP_0002639,http://purl.obolibrary.org/obo/HP_0000347,micrognathia (MPO),Micrognathia (HPO),lexical
http://purl.obolibrary.org/obo/HP_0000347,http://purl.obolibrary.org/obo/MP_0002639,Micrognathia (HPO),micrognathia (MPO),lexical
http://purl.obolibrary.org/obo/HP_0000347,http://purl.obolibrary.org/obo/MP_0004592,Micrognathia (HPO),small mandible (MPO),lexical
http://purl.obolibrary.org/obo/MP_0004592,http://purl.obolibrary.org/obo/HP_0000347,small mandible (MPO),Micrognathia (HPO),lexical
http://purl.obolibrary.org/obo/MP_0004540,http://purl.obolibrary.org/obo/HP_0000327,small maxilla (MPO),Hypoplasia of the maxilla (HPO),lexical
http://purl.obolibrary.org/obo/HP_0000327,http://purl.obolibrary.org/obo/MP_0004540,Hypoplasia of the maxilla (HPO),small maxilla (MPO),lexical
http://purl.obolibrary.org/obo/MP_0002764,http://purl.obolibrary.org/obo/HP_0005736,short tibia (MPO),Short tibia (HPO),lexical
http://purl.obolibrary.org/obo/HP_0005736,http://purl.obolibrary.org/obo/MP_0002764,Short tibia (HPO),short tibia (MPO),lexical
http://purl.obolibrary.org/obo/MP_0001270,http://purl.obolibrary.org/obo/HP_0003270,distended abdomen (MPO),Abdominal distention (HPO),lexical-logical
http://purl.obolibrary.org/obo/HP_0003270,http://purl.obolibrary.org/obo/MP_0001270,Abdominal distention (HPO),distended abdomen (MPO),lexical-logical
http://purl.obolibrary.org/obo/MP_0011250,http://purl.obolibrary.org/obo/HP_0031565,abdominal situs ambiguus (MPO),Abdominal situs ambiguus (HPO),lexical
http://purl.obolibrary.org/obo/HP_0031565,http://purl.obolibrary.org/obo/MP_0011250,Abdominal situs ambiguus (HPO),abdominal situs ambiguus (MPO),lexical
http://purl.obolibrary.org/obo/MP_0030915,http://purl.obolibrary.org/obo/HP_0007384,abnormal melanosome maturation (MPO),Aberrant melanosome maturation (HPO),lexical
http://purl.obolibrary.org/obo/HP_0007384,http://purl.obolibrary.org/obo/MP_0030915,Aberrant melanosome maturation (HPO),abnormal melanosome maturation (MPO),lexical
