defined_class	defined_class_label	affected_entity_1_super	affected_entity_1_super_label	affected_entity_2_sub	affected_entity_2_sub_label	affected_entity_2_super	affected_entity_2_super_label	pato_id	pato_id_label
http://purl.obolibrary.org/obo/ZP_0003821	CaP motoneuron has fewer parts of type filopodium CaP motoneuron, abnormal	http://purl.obolibrary.org/obo/ZFA_0009243	CaP motoneuron	http://purl.obolibrary.org/obo/GO_0030175	filopodium	http://purl.obolibrary.org/obo/ZFA_0009243	CaP motoneuron	http://purl.obolibrary.org/obo/PATO_0002001	has fewer parts of type
http://purl.obolibrary.org/obo/ZP_0003822	CaP motoneuron has fewer parts of type neuron projection primary motor neuron, abnormal	http://purl.obolibrary.org/obo/ZFA_0009243	CaP motoneuron	http://purl.obolibrary.org/obo/GO_0043005	neuron projection	http://purl.obolibrary.org/obo/ZFA_0009244	primary motor neuron	http://purl.obolibrary.org/obo/PATO_0002001	has fewer parts of type
http://purl.obolibrary.org/obo/ZP_0014221	DEL increased accumulation cytoplasmic vesicle DEL, abnormal	http://purl.obolibrary.org/obo/ZFA_0000711	DEL	http://purl.obolibrary.org/obo/GO_0031410	cytoplasmic vesicle	http://purl.obolibrary.org/obo/ZFA_0000711	DEL	http://purl.obolibrary.org/obo/PATO_0002270	increased accumulation
http://purl.obolibrary.org/obo/ZP_0005335	EVL lacks parts or has fewer parts of type bicellular tight junction EVL, abnormal	http://purl.obolibrary.org/obo/ZFA_0000086	EVL	http://purl.obolibrary.org/obo/GO_0005923	bicellular tight junction	http://purl.obolibrary.org/obo/ZFA_0000086	EVL	http://purl.obolibrary.org/obo/PATO_0001999	lacks parts or has fewer parts of type
http://purl.obolibrary.org/obo/ZP_0005421	Kupffer's vesicle altered number of axonemal microtubule ciliated cell, abnormal	http://purl.obolibrary.org/obo/ZFA_0000001	Kupffer's vesicle	http://purl.obolibrary.org/obo/GO_0005879	axonemal microtubule	http://purl.obolibrary.org/obo/ZFA_0009032	ciliated cell	http://purl.obolibrary.org/obo/PATO_0002083	altered number of
http://purl.obolibrary.org/obo/ZP_0010968	Kupffer's vesicle has fewer parts of type cilium Kupffer's vesicle, abnormal	http://purl.obolibrary.org/obo/ZFA_0000001	Kupffer's vesicle	http://purl.obolibrary.org/obo/GO_0005929	cilium	http://purl.obolibrary.org/obo/ZFA_0000001	Kupffer's vesicle	http://purl.obolibrary.org/obo/PATO_0002001	has fewer parts of type
http://purl.obolibrary.org/obo/ZP_0008476	Kupffer's vesicle has fewer parts of type cilium ciliated epithelial cell, abnormal	http://purl.obolibrary.org/obo/ZFA_0000001	Kupffer's vesicle	http://purl.obolibrary.org/obo/GO_0005929	cilium	http://purl.obolibrary.org/obo/ZFA_0009035	ciliated epithelial cell	http://purl.obolibrary.org/obo/PATO_0002001	has fewer parts of type
http://purl.obolibrary.org/obo/ZP_0003179	Kupffer's vesicle has fewer parts of type cilium epithelial cell, abnormal	http://purl.obolibrary.org/obo/ZFA_0000001	Kupffer's vesicle	http://purl.obolibrary.org/obo/GO_0005929	cilium	http://purl.obolibrary.org/obo/ZFA_0009034	epithelial cell	http://purl.obolibrary.org/obo/PATO_0002001	has fewer parts of type
http://purl.obolibrary.org/obo/ZP_0014600	Kupffer's vesicle has fewer parts of type inner dynein arm ciliated cell, abnormal	http://purl.obolibrary.org/obo/ZFA_0000001	Kupffer's vesicle	http://purl.obolibrary.org/obo/GO_0036156	inner dynein arm	http://purl.obolibrary.org/obo/ZFA_0009032	ciliated cell	http://purl.obolibrary.org/obo/PATO_0002001	has fewer parts of type
http://purl.obolibrary.org/obo/ZP_0010830	Kupffer's vesicle has fewer parts of type motile cilium Kupffer's vesicle, abnormal	http://purl.obolibrary.org/obo/ZFA_0000001	Kupffer's vesicle	http://purl.obolibrary.org/obo/GO_0031514	motile cilium	http://purl.obolibrary.org/obo/ZFA_0000001	Kupffer's vesicle	http://purl.obolibrary.org/obo/PATO_0002001	has fewer parts of type
http://purl.obolibrary.org/obo/ZP_0014601	Kupffer's vesicle has fewer parts of type outer dynein arm ciliated cell, abnormal	http://purl.obolibrary.org/obo/ZFA_0000001	Kupffer's vesicle	http://purl.obolibrary.org/obo/GO_0036157	outer dynein arm	http://purl.obolibrary.org/obo/ZFA_0009032	ciliated cell	http://purl.obolibrary.org/obo/PATO_0002001	has fewer parts of type
http://purl.obolibrary.org/obo/ZP_0022279	Kupffer's vesicle has normal numbers of parts of type epithelial cell Kupffer's vesicle, abnormal	http://purl.obolibrary.org/obo/ZFA_0000001	Kupffer's vesicle	http://purl.obolibrary.org/obo/ZFA_0009034	epithelial cell	http://purl.obolibrary.org/obo/ZFA_0000001	Kupffer's vesicle	http://purl.obolibrary.org/obo/PATO_0001905	has normal numbers of parts of type
