defined_class	defined_class_label	affected_entity_1_sub	affected_entity_1_sub_label	affected_entity_1_super	affected_entity_1_super_label	affected_entity_2_sub	affected_entity_2_sub_label	affected_entity_2_super	affected_entity_2_super_label	pato_id	pato_id_label
http://purl.obolibrary.org/obo/ZP_0104788	CaP motoneuron has fewer parts of type neuronal cell body membrane glutamatergic synapse CaP motoneuron, abnormal	http://purl.obolibrary.org/obo/GO_0032809	neuronal cell body membrane	http://purl.obolibrary.org/obo/ZFA_0009243	CaP motoneuron	http://purl.obolibrary.org/obo/GO_0098978	glutamatergic synapse	http://purl.obolibrary.org/obo/ZFA_0009243	CaP motoneuron	http://purl.obolibrary.org/obo/PATO_0002001	has fewer parts of type
http://purl.obolibrary.org/obo/ZP_0104798	CaP motoneuron has normal numbers of parts of type neuronal cell body membrane glutamatergic synapse CaP motoneuron, abnormal	http://purl.obolibrary.org/obo/GO_0032809	neuronal cell body membrane	http://purl.obolibrary.org/obo/ZFA_0009243	CaP motoneuron	http://purl.obolibrary.org/obo/GO_0098978	glutamatergic synapse	http://purl.obolibrary.org/obo/ZFA_0009243	CaP motoneuron	http://purl.obolibrary.org/obo/PATO_0001905	has normal numbers of parts of type
http://purl.obolibrary.org/obo/ZP_0104787	CaP motoneuron has normal numbers of parts of type neuronal cell body membrane inhibitory synapse CaP motoneuron, abnormal	http://purl.obolibrary.org/obo/GO_0032809	neuronal cell body membrane	http://purl.obolibrary.org/obo/ZFA_0009243	CaP motoneuron	http://purl.obolibrary.org/obo/GO_0060077	inhibitory synapse	http://purl.obolibrary.org/obo/ZFA_0009243	CaP motoneuron	http://purl.obolibrary.org/obo/PATO_0001905	has normal numbers of parts of type
http://purl.obolibrary.org/obo/ZP_0104786	CoPA has normal numbers of parts of type neuronal cell body membrane glutamatergic synapse CoPA, abnormal	http://purl.obolibrary.org/obo/GO_0032809	neuronal cell body membrane	http://purl.obolibrary.org/obo/ZFA_0005175	CoPA	http://purl.obolibrary.org/obo/GO_0098978	glutamatergic synapse	http://purl.obolibrary.org/obo/ZFA_0005175	CoPA	http://purl.obolibrary.org/obo/PATO_0001905	has normal numbers of parts of type
http://purl.obolibrary.org/obo/ZP_0017160	EVL detached from blastoderm cell blastoderm cell EVL, abnormal	http://purl.obolibrary.org/obo/ZFA_0009177	blastoderm cell	http://purl.obolibrary.org/obo/ZFA_0000086	EVL	http://purl.obolibrary.org/obo/ZFA_0009177	blastoderm cell	http://purl.obolibrary.org/obo/ZFA_0000086	EVL	http://purl.obolibrary.org/obo/PATO_0001453	detached from
http://purl.obolibrary.org/obo/ZP_0103455	EVL fused with nucleus nucleus EVL, abnormal	http://purl.obolibrary.org/obo/GO_0005634	nucleus	http://purl.obolibrary.org/obo/ZFA_0000086	EVL	http://purl.obolibrary.org/obo/GO_0005634	nucleus	http://purl.obolibrary.org/obo/ZFA_0000086	EVL	http://purl.obolibrary.org/obo/PATO_0000642	fused with
http://purl.obolibrary.org/obo/ZP_0011487	Kupffer's vesicle detached from ciliary basal body apical plasma membrane Kupffer's vesicle, abnormal	http://purl.obolibrary.org/obo/GO_0036064	ciliary basal body	http://purl.obolibrary.org/obo/ZFA_0000001	Kupffer's vesicle	http://purl.obolibrary.org/obo/GO_0016324	apical plasma membrane	http://purl.obolibrary.org/obo/ZFA_0000001	Kupffer's vesicle	http://purl.obolibrary.org/obo/PATO_0001453	detached from
http://purl.obolibrary.org/obo/ZP_0013098	Kupffer's vesicle distance ciliary basal body apical plasma membrane Kupffer's vesicle, abnormal	http://purl.obolibrary.org/obo/GO_0036064	ciliary basal body	http://purl.obolibrary.org/obo/ZFA_0000001	Kupffer's vesicle	http://purl.obolibrary.org/obo/GO_0016324	apical plasma membrane	http://purl.obolibrary.org/obo/ZFA_0000001	Kupffer's vesicle	http://purl.obolibrary.org/obo/PATO_0000040	distance
http://purl.obolibrary.org/obo/ZP_0104658	Kupffer's vesicle has extra parts of type posterior region vacuole Kupffer's vesicle, abnormal	http://purl.obolibrary.org/obo/BSPO_0000072	posterior region	http://purl.obolibrary.org/obo/ZFA_0000001	Kupffer's vesicle	http://purl.obolibrary.org/obo/GO_0005773	vacuole	http://purl.obolibrary.org/obo/ZFA_0000001	Kupffer's vesicle	http://purl.obolibrary.org/obo/PATO_0002002	has extra parts of type
http://purl.obolibrary.org/obo/ZP_0014818	Kupffer's vesicle has fewer parts of type cilium axonemal microtubule Kupffer's vesicle, abnormal	http://purl.obolibrary.org/obo/GO_0005929	cilium	http://purl.obolibrary.org/obo/ZFA_0000001	Kupffer's vesicle	http://purl.obolibrary.org/obo/GO_0005879	axonemal microtubule	http://purl.obolibrary.org/obo/ZFA_0000001	Kupffer's vesicle	http://purl.obolibrary.org/obo/PATO_0002001	has fewer parts of type
