defined_class	defined_class_label	affected_entity_1_sub	affected_entity_1_sub_label	affected_entity_1_super	affected_entity_1_super_label	pato_id	pato_id_label
http://purl.obolibrary.org/obo/MP_0010659	abdominal aorta aneurysm	http://purl.obolibrary.org/obo/MP_0003279	aneurysm	http://purl.obolibrary.org/obo/UBERON_0001516	abdominal aorta	http://purl.obolibrary.org/obo/PATO_0000470	increased amount
http://purl.obolibrary.org/obo/MP_0020171	abnormal IgA level	http://purl.obolibrary.org/obo/GO_0071746	IgA immunoglobulin complex, circulating	http://purl.obolibrary.org/obo/UBERON_0000178	blood	http://purl.obolibrary.org/obo/PATO_0000070	amount
http://purl.obolibrary.org/obo/MP_0020172	abnormal IgD level	http://purl.obolibrary.org/obo/GO_0071739	IgD immunoglobulin complex, circulating	http://purl.obolibrary.org/obo/UBERON_0000178	blood	http://purl.obolibrary.org/obo/PATO_0000070	amount
http://purl.obolibrary.org/obo/MP_0020173	abnormal IgE level	http://purl.obolibrary.org/obo/GO_0071743	IgE immunoglobulin complex, circulating	http://purl.obolibrary.org/obo/UBERON_0000178	blood	http://purl.obolibrary.org/obo/PATO_0000070	amount
http://purl.obolibrary.org/obo/MP_0020174	abnormal IgG level	http://purl.obolibrary.org/obo/GO_0071736	IgG immunoglobulin complex, circulating	http://purl.obolibrary.org/obo/UBERON_0000178	blood	http://purl.obolibrary.org/obo/PATO_0000070	amount
http://purl.obolibrary.org/obo/MP_0020180	abnormal IgM level	http://purl.obolibrary.org/obo/GO_0071754	IgM immunoglobulin complex, circulating	http://purl.obolibrary.org/obo/UBERON_0000178	blood	http://purl.obolibrary.org/obo/PATO_0000070	amount
http://purl.obolibrary.org/obo/MP_0005040	abnormal MHC II cell surface expression on macrophages	http://purl.obolibrary.org/obo/GO_0042613	MHC class II protein complex	http://purl.obolibrary.org/obo/CL_0000235	macrophage	http://purl.obolibrary.org/obo/PATO_0000070	amount
http://purl.obolibrary.org/obo/MP_0003905	abnormal aorta elastin content	http://purl.obolibrary.org/obo/PR_000007034	elastin	http://purl.obolibrary.org/obo/UBERON_0000947	aorta	http://purl.obolibrary.org/obo/PATO_0000070	amount
http://purl.obolibrary.org/obo/MP_0002329	abnormal blood gas level	http://purl.obolibrary.org/obo/CHEBI_25805	oxygen atom	http://purl.obolibrary.org/obo/UBERON_0001969	blood plasma	http://purl.obolibrary.org/obo/PATO_0000070	amount
http://purl.obolibrary.org/obo/MP_0005265	abnormal blood urea nitrogen level	http://purl.obolibrary.org/obo/CHEBI_16199	urea	http://purl.obolibrary.org/obo/UBERON_0000178	blood	http://purl.obolibrary.org/obo/PATO_0000070	amount
http://purl.obolibrary.org/obo/MP_0008820	abnormal blood uric acid level	http://purl.obolibrary.org/obo/CHEBI_27226	uric acid	http://purl.obolibrary.org/obo/UBERON_0000178	blood	http://purl.obolibrary.org/obo/PATO_0000070	amount
http://purl.obolibrary.org/obo/MP_0012320	abnormal body fat mass	http://purl.obolibrary.org/obo/UBERON_0001013	adipose tissue	http://purl.obolibrary.org/obo/UBERON_0000468	multicellular organism	http://purl.obolibrary.org/obo/PATO_0000125	mass
http://purl.obolibrary.org/obo/MP_0000676	abnormal body water content	http://purl.obolibrary.org/obo/CHEBI_15377	water	http://purl.obolibrary.org/obo/UBERON_0000468	multicellular organism	http://purl.obolibrary.org/obo/PATO_0000070	amount
http://purl.obolibrary.org/obo/MP_0013629	abnormal bone trabecular spacing	http://purl.obolibrary.org/obo/UBERON_0000440	trabecula	http://purl.obolibrary.org/obo/UBERON_0001474	bone element	http://purl.obolibrary.org/obo/PATO_0001566	distributed
http://purl.obolibrary.org/obo/MP_0012779	abnormal brain cholesterol level	http://purl.obolibrary.org/obo/CHEBI_16113	cholesterol	http://purl.obolibrary.org/obo/UBERON_0000955	brain	http://purl.obolibrary.org/obo/PATO_0000070	amount
http://purl.obolibrary.org/obo/MP_0011213	abnormal brain copper level	http://purl.obolibrary.org/obo/CHEBI_28694	copper atom	http://purl.obolibrary.org/obo/UBERON_0000955	brain	http://purl.obolibrary.org/obo/PATO_0000070	amount
http://purl.obolibrary.org/obo/MP_0014073	abnormal brain glycogen level	http://purl.obolibrary.org/obo/CHEBI_28087	glycogen	http://purl.obolibrary.org/obo/UBERON_0000955	brain	http://purl.obolibrary.org/obo/PATO_0000070	amount
http://purl.obolibrary.org/obo/MP_0008811	abnormal brain iron level	http://purl.obolibrary.org/obo/CHEBI_18248	iron atom	http://purl.obolibrary.org/obo/UBERON_0000955	brain	http://purl.obolibrary.org/obo/PATO_0000070	amount
